comment,sentiment,confidence,dominant_emotion,article_url
"Християнството е наложено НАСИЛСТВЕНО на българите, след унизителна военна загуба на хан Борис от Василевса. Това е норма в християнството. Отто също насилствено християнизира Германия, например.",Негативен,0.82,негодувание,https://www.dnes.bg/a/448-svobodno-vreme/724077-pravoslavnata-tsarkva-otbelyazva-nedelyata-na-vsi-svetii
"И ти нямаш биологичен баща,и кво от това бе тролей жалък???",Негативен,0.93,гняв,https://www.dnes.bg/a/448-svobodno-vreme/724077-pravoslavnata-tsarkva-otbelyazva-nedelyata-na-vsi-svetii
"""О лигофрени"" са хората с нарушен разум, приемащи за възможно, жена да зачене и роди Исус, без да има биологичен баща!",Негативен,0.91,презрение,https://www.dnes.bg/a/448-svobodno-vreme/724077-pravoslavnata-tsarkva-otbelyazva-nedelyata-na-vsi-svetii
"*** са хората с нарушен разум, приемащи за възможно, жена да зачене и роди Исус, без да има биологичен баща!",Негативен,0.93,гняв,https://www.dnes.bg/a/448-svobodno-vreme/724077-pravoslavnata-tsarkva-otbelyazva-nedelyata-na-vsi-svetii
Ама ти наистина си о лuroфрeн...,Негативен,0.87,презрение,https://www.dnes.bg/a/448-svobodno-vreme/724077-pravoslavnata-tsarkva-otbelyazva-nedelyata-na-vsi-svetii
"Единствено човек с нарушен разум, може да приеме за възможно, жена да зачене и роди Исус, без да има биологичен баща!",Негативен,0.82,презрение,https://www.dnes.bg/a/448-svobodno-vreme/724077-pravoslavnata-tsarkva-otbelyazva-nedelyata-na-vsi-svetii
Tadata - live upbeat music .... tatada .... https://youtu.be/b-I2s5zRbHg?list=RDMMMy2FRPA3Gf8,Позитивен,0.72,радост,https://www.dnes.bg/a/448-svobodno-vreme/724077-pravoslavnata-tsarkva-otbelyazva-nedelyata-na-vsi-svetii
До: Гост 666-БОГ да те прости,Негативен,0.82,гняв,https://www.dnes.bg/a/448-svobodno-vreme/724077-pravoslavnata-tsarkva-otbelyazva-nedelyata-na-vsi-svetii
До: Гост 666-И двете,Неутрален,0.6,спокойствие,https://www.dnes.bg/a/448-svobodno-vreme/724077-pravoslavnata-tsarkva-otbelyazva-nedelyata-na-vsi-svetii
А според вас аз шизoфриник ли съм или олuryфрeн,Негативен,0.72,тревожност,https://www.dnes.bg/a/448-svobodno-vreme/724077-pravoslavnata-tsarkva-otbelyazva-nedelyata-na-vsi-svetii
"До: Гост 666-Ха-лка, кофти лепило си взело този път",Негативен,0.78,разочарование,https://www.dnes.bg/a/448-svobodno-vreme/724077-pravoslavnata-tsarkva-otbelyazva-nedelyata-na-vsi-svetii
"Тиквите не са узрели още, какво ще чегъртат хората.",Негативен,0.72,раздразнение,https://www.dnes.bg/a/448-svobodno-vreme/724077-pravoslavnata-tsarkva-otbelyazva-nedelyata-na-vsi-svetii
"до Гост 666: не съм ти използвал името, но искам да ти кажа, че: 1. голям грях е да се покланяш на дявола и да кълнеш; 2. смъpmma не е край, а ВРАТА КЪМ ВЕЧНОСТТА където всеки ще получи според това, което е заслужил тук на Земята. Абсолютно безпредметно е да кълнеш за смъpm защото самото преминаване през ""вратата"" по никакъв начин не променя участта на душата - ако е вършила добри дела отива в рая, ако не - на другото място, но присъдата не зависи от датата на преминаване, разбираш ли???",Неутрален,0.62,загриженост,https://www.dnes.bg/a/448-svobodno-vreme/724077-pravoslavnata-tsarkva-otbelyazva-nedelyata-na-vsi-svetii
А и казвахме на куpBатa да не те събира от земята с вилицата...,Негативен,0.92,гняв,https://www.dnes.bg/a/448-svobodno-vreme/724077-pravoslavnata-tsarkva-otbelyazva-nedelyata-na-vsi-svetii
От утре понеделник 8 юни до 29 юни са Петровите или апостолски пости. ЧЕСТИТ ПРАЗНИК ДНЕС И ЛЕК И СПАСИТЕЛЕН ПОСТ на всички от утре!,Позитивен,0.92,радост,https://www.dnes.bg/a/448-svobodno-vreme/724077-pravoslavnata-tsarkva-otbelyazva-nedelyata-na-vsi-svetii
"Свети Йоан Рилски живее дълги години в отшелничество. По-късно при него идват и други братя. Св. Иван основава манастир с ЦЪРКВА, ЛИТУРГИЯ и ПРИЧАСТИЕ. Престани да хулиш светията и Светата православна църква, Веселине, за да не те накаже Господ за безумието ти.",Негативен,0.72,гняв,https://www.dnes.bg/a/448-svobodno-vreme/724077-pravoslavnata-tsarkva-otbelyazva-nedelyata-na-vsi-svetii
"До: Луцифер-госте, наистина не си нормално",Негативен,0.87,пренебрежение,https://www.dnes.bg/a/448-svobodno-vreme/724077-pravoslavnata-tsarkva-otbelyazva-nedelyata-na-vsi-svetii
"Черен,кpuвоглав чaлгonuтек още ли водиш жалkoто си съществуване?",Негативен,0.97,презрение,https://www.dnes.bg/a/448-svobodno-vreme/724077-pravoslavnata-tsarkva-otbelyazva-nedelyata-na-vsi-svetii
"Неделята на всички Божии светии е посветена на онези, които са просияли като светии с делата си, но все още не са канонизирани или не са ни известни. Също така е напомняне, че светиите са хора и също като нас са били изкушавани с гордост, слава, богатство, плътски и всякакви други страсти. Те не са ангели небесни и също като нас са имали своите съмнения и понякога дори и падения. Но с молитва и помощ от Бога са намерили в себе си сили да се отрекат от злото и да станат ПРИМЕР за нас грешните.",Позитивен,0.78,вдъхновение,https://www.dnes.bg/a/448-svobodno-vreme/724077-pravoslavnata-tsarkva-otbelyazva-nedelyata-na-vsi-svetii
"Вярвате в завещание, затова оставихте дете си на пето Лама",Негативен,0.72,укор,https://www.dnes.bg/a/448-svobodno-vreme/723952-zabludi-koito-darzhat-horata-v-neshtastni-vrazki
Абе спрете да разбивате семейства с тия статии,Негативен,0.89,гняв,https://www.dnes.bg/a/448-svobodno-vreme/723952-zabludi-koito-darzhat-horata-v-neshtastni-vrazki
"Статиите за успехите на Украйна, *** и ""разпадането на Русия"".",Негативен,0.62,скептицизъм,https://www.dnes.bg/a/448-svobodno-vreme/723952-zabludi-koito-darzhat-horata-v-neshtastni-vrazki
"Ако ви се прави с*кс, по-добре е да правите такъв. Опитите да си оправите връзките е на втора линия, защото първото е по-големият фактор.",Неутрален,0.62,прагматизъм,https://www.dnes.bg/a/448-svobodno-vreme/723952-zabludi-koito-darzhat-horata-v-neshtastni-vrazki
И още една заблуда: ТЯ може да си прави каквото си иска и да го командва и ще бъдат щастливи.,Негативен,0.82,раздразнение,https://www.dnes.bg/a/448-svobodno-vreme/723952-zabludi-koito-darzhat-horata-v-neshtastni-vrazki
".. от нея и дори имаше внуче. Той настоял тя да роди детето, обещал да го припознае, да се разведе и да се ожени за нея. Два месеца след раждането тя отново забременя от него и стана скандал - родителите й настояваха за аборт, но любовникът не разреши. Няколко години след второто раждане все още не беше припознал децата, нито се беше развел. После им загубих дирите, не знам какво е станало.Изводът ми е, че не бива да се слагат жестоки юзди на млад човек, хормонът рано или късно ще си каже думата",Негативен,0.82,разочарование,https://www.dnes.bg/a/448-svobodno-vreme/723952-zabludi-koito-darzhat-horata-v-neshtastni-vrazki
"Бегло познавах семейство, което се грижеше за дъщеря си като за писано яйце, но и много я ограничаваха - заставиха я да следва задочно /още през соца/, за да не ходи на студентски бригади, на които според тях ставали неморални неща. Заставяха я да ходи на почивка само с тях. Разрешаваха й да дружи само с едно съседско момиче. И в крайна сметка, когато беше на 23 г. и за първи път отиде в командировка далеч от родителския контрол, тя забременя от шефа си, който беше женен, 30 г. по-възрастен от",Негативен,0.82,осъждане,https://www.dnes.bg/a/448-svobodno-vreme/723952-zabludi-koito-darzhat-horata-v-neshtastni-vrazki
"Че ако лижете жена си редовно, в крайна сметка лекото ухание на веяна скумрия от чатала и ще изчезне!",Позитивен,0.55,хумор,https://www.dnes.bg/a/448-svobodno-vreme/723952-zabludi-koito-darzhat-horata-v-neshtastni-vrazki
Че точно вашата жена не е миндилИспермояд!,Негативен,0.85,гняв,https://www.dnes.bg/a/448-svobodno-vreme/723952-zabludi-koito-darzhat-horata-v-neshtastni-vrazki
"До: анонимен 8Римските войници са носели сандали, също и древногръцките, спартанските и тракийските.",Неутрален,0.92,спокойствие,https://www.dnes.bg/a/448-svobodno-vreme/723950-sandali-koito-shte-sa-hit-prez-lyatoto
най жалката картинка е мъж да сложи сандали не знам от къде тая мода ама автоматично изглежда гей,Негативен,0.87,презрение,https://www.dnes.bg/a/448-svobodno-vreme/723950-sandali-koito-shte-sa-hit-prez-lyatoto
Краката ми миришат на оцет.,Негативен,0.72,неудобство,https://www.dnes.bg/a/448-svobodno-vreme/723950-sandali-koito-shte-sa-hit-prez-lyatoto
"Няма ли дама с по фини ръце, кебапчета ли рекламира.",Негативен,0.72,пренебрежение,https://www.dnes.bg/a/448-svobodno-vreme/723996-7-predlozheniya-za-yunski-manikyur-moderni-i-svezhi-vizii-za-letniya-sezon
"На 3 юни 2026 когато започна Международният Икономически Форум в Санкт Петербург, само на 17 км от Форума украински дронове посетиха петролния терминал. От сателитните снимки стана ясно, че петролният терминал вече се нуждае от икономическа сделка за модернизация. Там има 21 резервоар цистерни за петролни продукти и горива. През терминала годишно могат да преминават 12,5 млн. тона продукти АКО КРЕМЪЛ ЗАОБИЧА МИРА.",Негативен,0.82,сарказъм,https://www.dnes.bg/a/448-svobodno-vreme/723996-7-predlozheniya-za-yunski-manikyur-moderni-i-svezhi-vizii-za-letniya-sezon
"КРЕМЪЛСКИ ВИСОТИ : Украинските дронове поздравиха Санкт Петербург на 3 юни 2026 когато започна Международният Икономически Форум. Петролният терминал на 17 км от Форума беше посетен. Сателитните снимки изясниха : Петролният терминал вече се нуждае от икономическа сделка за модернизация. Там има 21 резервоар цистерни за петролни продукти и горива. През терминала годишно могат да преминават 12,5 млн. тона продукти.",Негативен,0.82,злорадство,https://www.dnes.bg/a/448-svobodno-vreme/723996-7-predlozheniya-za-yunski-manikyur-moderni-i-svezhi-vizii-za-letniya-sezon
Любимият ми цвят,Позитивен,0.65,привързаност,https://www.dnes.bg/a/448-svobodno-vreme/723949-koy-e-tsvetat-na-mesets-yuni-2026
За голяма нужда?,Неутрален,0.55,неутралност,https://www.dnes.bg/a/448-svobodno-vreme/723995-11-nuzhdi-za-koito-nikoya-sapruga-ne-biva-da-moli-mazha-si
Ти ако знаеш жена ти с още колко е правила тройки,Негативен,0.82,злоба,https://www.dnes.bg/a/448-svobodno-vreme/723995-11-nuzhdi-za-koito-nikoya-sapruga-ne-biva-da-moli-mazha-si
"Май сте се объркали нещо. Тази статия е за Жената днес, а тук е сямо днес и не е за жени. Камоли за смотaнuте от статията",Негативен,0.87,раздразнение,https://www.dnes.bg/a/448-svobodno-vreme/723995-11-nuzhdi-za-koito-nikoya-sapruga-ne-biva-da-moli-mazha-si
Кекс.,Неутрален,0.85,спокойствие,https://www.dnes.bg/a/448-svobodno-vreme/723995-11-nuzhdi-za-koito-nikoya-sapruga-ne-biva-da-moli-mazha-si
Да й бръсне гърбъ .,Негативен,0.82,пренебрежение,https://www.dnes.bg/a/448-svobodno-vreme/723995-11-nuzhdi-za-koito-nikoya-sapruga-ne-biva-da-moli-mazha-si
Скъпи... Хайде да ми го вкapaш в дyyпиитo.,Неутрален,0.4,желание,https://www.dnes.bg/a/448-svobodno-vreme/723995-11-nuzhdi-za-koito-nikoya-sapruga-ne-biva-da-moli-mazha-si
"***, на вас ви е нужен кокошарник и петел. Исляма доста добре е рзрешил нуждите ви в харема. От друга страна всичко което си мислите че някой ви е длъжен е забранено от закона.",Негативен,0.95,презрение,https://www.dnes.bg/a/448-svobodno-vreme/723995-11-nuzhdi-za-koito-nikoya-sapruga-ne-biva-da-moli-mazha-si
Да й души дивия .,Неутрален,0.4,неопределеност,https://www.dnes.bg/a/448-svobodno-vreme/723995-11-nuzhdi-za-koito-nikoya-sapruga-ne-biva-da-moli-mazha-si
Повече от 20 минути никой не е реагирал на този материал. На какво ли се дължи това?,Негативен,0.62,недоумение,https://www.dnes.bg/a/448-svobodno-vreme/723995-11-nuzhdi-za-koito-nikoya-sapruga-ne-biva-da-moli-mazha-si
"1.Една жена никога не трябва да моли мъжа си,да в плющи отзад.Той трябва сам да се сеща.2.Една жена никога не трябва да моли мъжа си,да и се разтовари в устата при бибитка.Той трябва сам да се сеща.",Негативен,0.62,недоволство,https://www.dnes.bg/a/448-svobodno-vreme/723995-11-nuzhdi-za-koito-nikoya-sapruga-ne-biva-da-moli-mazha-si
Никой не го интересува освен някои гнясажийскиИЗМЕКЯРИ,Негативен,0.97,гняв,https://www.dnes.bg/a/2-svyat/723882-dashteryata-na-megan-markal-i-prints-hari-stana-na-5-g
"Какъв принц е този, нали го лишиха от титли и отговорности към кралството?",Негативен,0.78,пренебрежение,https://www.dnes.bg/a/2-svyat/723882-dashteryata-na-megan-markal-i-prints-hari-stana-na-5-g
кой са тези? Хари потър ли?,Неутрален,0.65,изненада,https://www.dnes.bg/a/2-svyat/723882-dashteryata-na-megan-markal-i-prints-hari-stana-na-5-g
Ритарди Би скъса пернишкия винкел от езда и гъдел.,Неутрален,0.45,неопределеност,https://www.dnes.bg/a/2-svyat/723881-kamila-kabelo-i-gadzheto-skasali
рИвЪ !,Негативен,0.62,гняв,https://www.dnes.bg/a/2-svyat/723881-kamila-kabelo-i-gadzheto-skasali
"Къс му бил кабело, не може да и достигне камилската ...",Негативен,0.78,разочарование,https://www.dnes.bg/a/2-svyat/723881-kamila-kabelo-i-gadzheto-skasali
Отиде ни вечерята с жената ревем и двамата,Негативен,0.92,тъга,https://www.dnes.bg/a/2-svyat/723881-kamila-kabelo-i-gadzheto-skasali
Тази кубинка е способна да накара Тръмп да обяви Куба за най-приятелската страна на САЩ.,Позитивен,0.72,възхищение,https://www.dnes.bg/a/2-svyat/723881-kamila-kabelo-i-gadzheto-skasali
"Я камилата, я камиларят, там е джендър бендър. Не ни занимавайте с глупости.",Негативен,0.88,раздразнение,https://www.dnes.bg/a/2-svyat/723881-kamila-kabelo-i-gadzheto-skasali
"Малее,трепач,аууу",Позитивен,0.72,възхищение,https://www.dnes.bg/a/2-svyat/723881-kamila-kabelo-i-gadzheto-skasali
Защо трябваше да публикувате тази новина преди да си легна. Няма да мога да спя!,Негативен,0.82,вълнение,https://www.dnes.bg/a/2-svyat/723881-kamila-kabelo-i-gadzheto-skasali
"Кат я гледам,нема да остане на сухо... Милиардерът също..",Негативен,0.72,злорадство,https://www.dnes.bg/a/2-svyat/723881-kamila-kabelo-i-gadzheto-skasali
На окабелената камила и милиардер не й е достатъчен,Негативен,0.72,недоволство,https://www.dnes.bg/a/2-svyat/723881-kamila-kabelo-i-gadzheto-skasali
"Преживяла... горката... Те хората по 5 пъти пробват неуспешно, тя видиш ли преживяла! Сигурно е била на косъм! Която и да е тая изобщо.",Негативен,0.82,сарказъм,https://www.dnes.bg/a/2-svyat/723880-mandi-mur-prezhivyala-neuspeshno-invitro
"До: пенсионер-ветеран:Важното в случая е,че родила още едно еврейче на господин Голдсмит. Важно е,да се раждат от онези Богоизбраните носещи малки шапчици.",Негативен,0.97,омраза,https://www.dnes.bg/a/2-svyat/723880-mandi-mur-prezhivyala-neuspeshno-invitro
"42-годишно си е Тотална МеноПауза - кво ИнВитро кви 5евроцента - тя Кората с Яйца отдавна е свършила! Осъзнайте се, Феминистки - никой НЕ е по-силен от Природата!!",Негативен,0.91,пренебрежение,https://www.dnes.bg/a/2-svyat/723880-mandi-mur-prezhivyala-neuspeshno-invitro
"Много стресиран звучиш. Ела чичовото, ще ти помогна със стреса, ще ти дам да ближеш един сладолед без захар, накрая и парички ще ти дам ;)",Негативен,0.72,манипулативност,https://www.dnes.bg/a/448-svobodno-vreme/723997-3-lesni-i-vkusni-retsepti-da-si-prigotvite-sami-sladoled-bez-zahar
"Е то за какво е сладоледа, ако няма захар, лед от хладилника същата работа, само че е без пари.",Негативен,0.72,разочарование,https://www.dnes.bg/a/448-svobodno-vreme/723997-3-lesni-i-vkusni-retsepti-da-si-prigotvite-sami-sladoled-bez-zahar
Да премине към действия най-сетне.,Неутрален,0.55,нетърпение,https://www.dnes.bg/a/448-svobodno-vreme/724049-kara-delevin-s-tezhki-samopriznaniya-za-seksa-i-drogata
"Ох, сега и за таз кака ли да се притесняваме? С имотно състояние между 50 и 100 милиона долара, решила си е с каква ориентация иска да е. Да си харчи парите по други каки, не ни занимавайте нас!",Негативен,0.87,раздразнение,https://www.dnes.bg/a/448-svobodno-vreme/724049-kara-delevin-s-tezhki-samopriznaniya-za-seksa-i-drogata
