comment_text,article_url,article_title,comment_sentiment,comment_confidence,comment_dominant_emotion,article_title_sentiment,article_title_confidence,article_title_dominant_emotion,article_sentiment,article_confidence,article_dominant_emotion
"Всички линии на БДЖ са ретро, на ниво 80-те години на миналия век.",https://www.dnes.bg/a/448-svobodno-vreme/724083-bdzh-puska-dnes-istoricheska-retro-motrisa-po-liniyata-sofiya-bankya,БДЖ пуска днес историческа ретро мотриса по линията София – Банкя,Негативен,0.86,разочарование,Позитивен,0.72,въодушевление,Позитивен,0.82,радост
Тракийците да се сърдят на македонците във властта в София тогава.,https://www.dnes.bg/a/1-bulgaria/724082-kam-sv-sinod-200-trakiyski-detsa-da-badat-kanonizirani-v-svettsi,Към Св. Синод: 200 тракийски деца да бъдат канонизирани в светци,Негативен,0.82,гняв,Позитивен,0.62,почитание,Негативен,0.72,скръб
"Не е ли по-добре да се анатемосат Фердинанд и българските политици, които са предизвикали това, нападайки тъппо и глупаво Сърбия, като знаят, че Турция, Гърция, Сърбия точно това очакват, а Румъния е декларирала, че ще се намеси, ако има война между Съюзниците?",https://www.dnes.bg/a/1-bulgaria/724082-kam-sv-sinod-200-trakiyski-detsa-da-badat-kanonizirani-v-svettsi,Към Св. Синод: 200 тракийски деца да бъдат канонизирани в светци,Негативен,0.92,гняв,Позитивен,0.62,почитание,Негативен,0.72,скръб
какво ли е декламирала йотова кви ли велики мисли е споделила,https://www.dnes.bg/a/1-bulgaria/724082-kam-sv-sinod-200-trakiyski-detsa-da-badat-kanonizirani-v-svettsi,Към Св. Синод: 200 тракийски деца да бъдат канонизирани в светци,Негативен,0.82,ирония,Позитивен,0.62,почитание,Негативен,0.72,скръб
Как пък да не. То светец не се става само защото си избит. Плюс това са и езичници. Някой хора съвсем ги хапе коня,https://www.dnes.bg/a/1-bulgaria/724082-kam-sv-sinod-200-trakiyski-detsa-da-badat-kanonizirani-v-svettsi,Към Св. Синод: 200 тракийски деца да бъдат канонизирани в светци,Негативен,0.87,раздразнение,Позитивен,0.62,почитание,Негативен,0.72,скръб
"Разказите са на баба ми, която тогава е била на 8 години,дядо ми на 14. Живеели са в Еникьой, Узункюприйско. Едва са се измъкнали живи.Единият ми прадядо е оставил 400 дка земя,12 чифта волове, към 20 крави и овцете не помнеше колко точно.Златото са заровили в земята с надеждата да се върнат.С последни сили са влезли в нашата територия. Много от селото,които са се забавили с няколко часа са били убити.Това е историята.Имаме и карта на къщите,в Й/Еникьой/.по спомени на оцелелите и опис на имоти и",https://www.dnes.bg/a/1-bulgaria/724082-kam-sv-sinod-200-trakiyski-detsa-da-badat-kanonizirani-v-svettsi,Към Св. Синод: 200 тракийски деца да бъдат канонизирани в светци,Негативен,0.95,тъга,Позитивен,0.62,почитание,Негативен,0.72,скръб
"Изказването е на депутата г-н Тошко Йорданов, че след като изготят бюджета църквата може да започне да канонизира за светци хората в неравностойно положение понеже издръжката от държавата е минус.",https://www.dnes.bg/a/1-bulgaria/724082-kam-sv-sinod-200-trakiyski-detsa-da-badat-kanonizirani-v-svettsi,Към Св. Синод: 200 тракийски деца да бъдат канонизирани в светци,Негативен,0.78,разочарование,Позитивен,0.62,почитание,Негативен,0.72,скръб
"До: Х 1. Избити от редовната турска войска по време на междусъюзническата война 1913 година. Не търси под вола теле, а чети исторически документи.",https://www.dnes.bg/a/1-bulgaria/724082-kam-sv-sinod-200-trakiyski-detsa-da-badat-kanonizirani-v-svettsi,Към Св. Синод: 200 тракийски деца да бъдат канонизирани в светци,Негативен,0.82,гняв,Позитивен,0.62,почитание,Негативен,0.72,скръб
"На база изказване от трибуната на народното събрание, че йойто успее трябва да го направят светец за бюджета имам в предвид който не успяха да изготвят 2025г за 2026г.",https://www.dnes.bg/a/1-bulgaria/724082-kam-sv-sinod-200-trakiyski-detsa-da-badat-kanonizirani-v-svettsi,Към Св. Синод: 200 тракийски деца да бъдат канонизирани в светци,Негативен,0.72,разочарование,Позитивен,0.62,почитание,Негативен,0.72,скръб
Да не са направили бюджета на държавата и да им е стигнал на депутатите и църквата.,https://www.dnes.bg/a/1-bulgaria/724082-kam-sv-sinod-200-trakiyski-detsa-da-badat-kanonizirani-v-svettsi,Към Св. Синод: 200 тракийски деца да бъдат канонизирани в светци,Негативен,0.72,недоволство,Позитивен,0.62,почитание,Негативен,0.72,скръб
До: Гост 666-пий си хапчетата бе o лигyфрeн,https://www.dnes.bg/a/448-svobodno-vreme/724077-pravoslavnata-tsarkva-otbelyazva-nedelyata-na-vsi-svetii,Православната църква отбелязва Неделята на вси светии,Негативен,0.98,гняв,Неутрален,0.85,спокойствие,Позитивен,0.82,благоговение
Поредната интрига на ***!,https://www.dnes.bg/a/1-bulgaria/724082-kam-sv-sinod-200-trakiyski-detsa-da-badat-kanonizirani-v-svettsi,Към Св. Синод: 200 тракийски деца да бъдат канонизирани в светци,Негативен,0.88,възмущение,Позитивен,0.62,почитание,Негативен,0.72,скръб
"Ний станахме като сърбежите! По канон канонизира се човек, който си е отдал живота за Православието, бил е морален живеел е за Св. Тайнства, или пък се мъчил за Православието, гонен притесняван или е убит за вярата. Всичко друго е политизирано.",https://www.dnes.bg/a/1-bulgaria/724082-kam-sv-sinod-200-trakiyski-detsa-da-badat-kanonizirani-v-svettsi,Към Св. Синод: 200 тракийски деца да бъдат канонизирани в светци,Негативен,0.87,разочарование,Позитивен,0.62,почитание,Негативен,0.72,скръб
Това масово клане е извършено от Гърция и гърците!,https://www.dnes.bg/a/1-bulgaria/724082-kam-sv-sinod-200-trakiyski-detsa-da-badat-kanonizirani-v-svettsi,Към Св. Синод: 200 тракийски деца да бъдат канонизирани в светци,Негативен,0.95,гняв,Позитивен,0.62,почитание,Негативен,0.72,скръб
"А нещо за геноцида в Газа не каза ли.Цял свят бойкотира евреите,ние ги каним тук да ни пеят.Срам!",https://www.dnes.bg/a/448-svobodno-vreme/724081-ishtar-tseliyat-svyat-tryabva-da-znae-za-praznika-na-rozata,Ищар: Целият свят трябва да знае за Празника на розата,Негативен,0.96,гняв,Позитивен,0.82,гордост,Позитивен,0.93,радост
"Това не беше ли мъж, преврънъл се на джендер-мендер-жена?",https://www.dnes.bg/a/448-svobodno-vreme/724081-ishtar-tseliyat-svyat-tryabva-da-znae-za-praznika-na-rozata,Ищар: Целият свят трябва да знае за Празника на розата,Негативен,0.92,презрение,Позитивен,0.82,гордост,Позитивен,0.93,радост
"Ритарди Би готвеше в кухнята, изпи 3 литра кефир, разпърдя се и я помолиха да напусне.",https://www.dnes.bg/a/448-svobodno-vreme/724079-grigor-i-eysa-ot-lazurniya-bryag-v-london,Григор и Ейса от лазурния бряг в Лондон,Негативен,0.82,отвращение,Неутрален,0.65,спокойствие,Позитивен,0.72,радост
"до щракачите злобари : я споделете вие къде сте били в чужбина , какво сте постигнали в животеца ви жалък , погледнете тая до вас . банковите си сметки ако въобще имате такива не ги поглеждайте .",https://www.dnes.bg/a/448-svobodno-vreme/724079-grigor-i-eysa-ot-lazurniya-bryag-v-london,Григор и Ейса от лазурния бряг в Лондон,Негативен,0.98,гняв,Неутрален,0.65,спокойствие,Позитивен,0.72,радост
"И аз съм...посещавал индиския ресторант в Лондон. Помня че...хапнах Пиле тандури и за десерт Масала доса с пълнеж от сладък фастъчен крем. Нищо особено,обикновени манджи.",https://www.dnes.bg/a/448-svobodno-vreme/724079-grigor-i-eysa-ot-lazurniya-bryag-v-london,Григор и Ейса от лазурния бряг в Лондон,Негативен,0.72,разочарование,Неутрален,0.65,спокойствие,Позитивен,0.72,радост
И това трябва да е новина ли? След като има хиляди други по-важни. Дришo плаща ли ви?,https://www.dnes.bg/a/448-svobodno-vreme/724079-grigor-i-eysa-ot-lazurniya-bryag-v-london,Григор и Ейса от лазурния бряг в Лондон,Негативен,0.92,раздразнение,Неутрален,0.65,спокойствие,Позитивен,0.72,радост
"""Григор и Ейса от лазурния бряг в Лондон "".От кога Лондон се е преместил на лазурния бряг.",https://www.dnes.bg/a/448-svobodno-vreme/724079-grigor-i-eysa-ot-lazurniya-bryag-v-london,Григор и Ейса от лазурния бряг в Лондон,Негативен,0.72,ирония,Неутрален,0.65,спокойствие,Позитивен,0.72,радост
Тия пак се правят на интересни!Да ходят където си искат. Това няма нищо общо с проблемите на нормалните хора.,https://www.dnes.bg/a/448-svobodno-vreme/724079-grigor-i-eysa-ot-lazurniya-bryag-v-london,Григор и Ейса от лазурния бряг в Лондон,Негативен,0.94,раздразнение,Неутрален,0.65,спокойствие,Позитивен,0.72,радост
"А нас , българите , какво ни топли това , че Глигорка се кефи в обкръжението на някакви индийци ли са , пакистанци ли са, мароканци ли са ? И ....какъв българин е Глигорчо ? Та той един сет не е играл на българска територия ! А и вече си е твърд пенсионер за големия тенис.",https://www.dnes.bg/a/448-svobodno-vreme/724079-grigor-i-eysa-ot-lazurniya-bryag-v-london,Григор и Ейса от лазурния бряг в Лондон,Негативен,0.94,раздразнение,Неутрален,0.65,спокойствие,Позитивен,0.72,радост
Туй е голямо събитие. Как бате Гришо похапва в индийски ресторан.,https://www.dnes.bg/a/448-svobodno-vreme/724079-grigor-i-eysa-ot-lazurniya-bryag-v-london,Григор и Ейса от лазурния бряг в Лондон,Негативен,0.72,ирония,Неутрален,0.65,спокойствие,Позитивен,0.72,радост
брех таз йотова утепала се от пътуване,https://www.dnes.bg/a/1-bulgaria/724078-13-000-na-lazur-dariha-v-macha-na-nadezhdata,"13 000 на ""Лазур"" дариха в Мача на надеждата",Негативен,0.72,раздразнение,Позитивен,0.82,надежда,Позитивен,0.93,вдъхновение
Да се видят каква е оценката на хората за тях,https://www.dnes.bg/a/1-bulgaria/724078-13-000-na-lazur-dariha-v-macha-na-nadezhdata,"13 000 на ""Лазур"" дариха в Мача на надеждата",Неутрален,0.82,любопитство,Позитивен,0.82,надежда,Позитивен,0.93,вдъхновение
Само за тенискта 19 Йотова що материал е отошъл,https://www.dnes.bg/a/1-bulgaria/724078-13-000-na-lazur-dariha-v-macha-na-nadezhdata,"13 000 на ""Лазур"" дариха в Мача на надеждата",Неутрален,0.55,изненада,Позитивен,0.82,надежда,Позитивен,0.93,вдъхновение
Моята прocтотuя е естествена и наследствена,https://www.dnes.bg/a/448-svobodno-vreme/724077-pravoslavnata-tsarkva-otbelyazva-nedelyata-na-vsi-svetii,Православната църква отбелязва Неделята на вси светии,Негативен,0.78,самоирония,Неутрален,0.85,спокойствие,Позитивен,0.82,благоговение
"Християнството е наложено НАСИЛСТВЕНО на българите, след унизителна военна загуба на хан Борис от Василевса. Това е норма в християнството. Отто също насилствено християнизира Германия, например.",https://www.dnes.bg/a/448-svobodno-vreme/724077-pravoslavnata-tsarkva-otbelyazva-nedelyata-na-vsi-svetii,Православната църква отбелязва Неделята на вси светии,Негативен,0.92,възмущение,Неутрален,0.85,спокойствие,Позитивен,0.82,благоговение
"И ти нямаш биологичен баща,и кво от това бе тролей жалък???",https://www.dnes.bg/a/448-svobodno-vreme/724077-pravoslavnata-tsarkva-otbelyazva-nedelyata-na-vsi-svetii,Православната църква отбелязва Неделята на вси светии,Негативен,0.98,гняв,Неутрален,0.85,спокойствие,Позитивен,0.82,благоговение
"""О лигофрени"" са хората с нарушен разум, приемащи за възможно, жена да зачене и роди Исус, без да има биологичен баща!",https://www.dnes.bg/a/448-svobodno-vreme/724077-pravoslavnata-tsarkva-otbelyazva-nedelyata-na-vsi-svetii,Православната църква отбелязва Неделята на вси светии,Негативен,0.95,презрение,Неутрален,0.85,спокойствие,Позитивен,0.82,благоговение
"*** са хората с нарушен разум, приемащи за възможно, жена да зачене и роди Исус, без да има биологичен баща!",https://www.dnes.bg/a/448-svobodno-vreme/724077-pravoslavnata-tsarkva-otbelyazva-nedelyata-na-vsi-svetii,Православната църква отбелязва Неделята на вси светии,Негативен,0.95,презрение,Неутрален,0.85,спокойствие,Позитивен,0.82,благоговение
Ама ти наистина си о лuroфрeн...,https://www.dnes.bg/a/448-svobodno-vreme/724077-pravoslavnata-tsarkva-otbelyazva-nedelyata-na-vsi-svetii,Православната църква отбелязва Неделята на вси светии,Негативен,0.92,презрение,Неутрален,0.85,спокойствие,Позитивен,0.82,благоговение
"Единствено човек с нарушен разум, може да приеме за възможно, жена да зачене и роди Исус, без да има биологичен баща!",https://www.dnes.bg/a/448-svobodno-vreme/724077-pravoslavnata-tsarkva-otbelyazva-nedelyata-na-vsi-svetii,Православната църква отбелязва Неделята на вси светии,Негативен,0.92,презрение,Неутрален,0.85,спокойствие,Позитивен,0.82,благоговение
Tadata - live upbeat music .... tatada .... https://youtu.be/b-I2s5zRbHg?list=RDMMMy2FRPA3Gf8,https://www.dnes.bg/a/448-svobodno-vreme/724077-pravoslavnata-tsarkva-otbelyazva-nedelyata-na-vsi-svetii,Православната църква отбелязва Неделята на вси светии,Позитивен,0.78,радост,Неутрален,0.85,спокойствие,Позитивен,0.82,благоговение
До: Гост 666-БОГ да те прости,https://www.dnes.bg/a/448-svobodno-vreme/724077-pravoslavnata-tsarkva-otbelyazva-nedelyata-na-vsi-svetii,Православната църква отбелязва Неделята на вси светии,Негативен,0.78,тъга,Неутрален,0.85,спокойствие,Позитивен,0.82,благоговение
До: Гост 666-И двете,https://www.dnes.bg/a/448-svobodno-vreme/724077-pravoslavnata-tsarkva-otbelyazva-nedelyata-na-vsi-svetii,Православната църква отбелязва Неделята на вси светии,Неутрален,0.95,неутралност,Неутрален,0.85,спокойствие,Позитивен,0.82,благоговение
А според вас аз шизoфриник ли съм или олuryфрeн,https://www.dnes.bg/a/448-svobodno-vreme/724077-pravoslavnata-tsarkva-otbelyazva-nedelyata-na-vsi-svetii,Православната църква отбелязва Неделята на вси светии,Негативен,0.78,тревожност,Неутрален,0.85,спокойствие,Позитивен,0.82,благоговение
"До: Гост 666-Ха-лка, кофти лепило си взело този път",https://www.dnes.bg/a/448-svobodno-vreme/724077-pravoslavnata-tsarkva-otbelyazva-nedelyata-na-vsi-svetii,Православната църква отбелязва Неделята на вси светии,Негативен,0.86,разочарование,Неутрален,0.85,спокойствие,Позитивен,0.82,благоговение
"Тиквите не са узрели още, какво ще чегъртат хората.",https://www.dnes.bg/a/448-svobodno-vreme/724077-pravoslavnata-tsarkva-otbelyazva-nedelyata-na-vsi-svetii,Православната църква отбелязва Неделята на вси светии,Негативен,0.62,ирония,Неутрален,0.85,спокойствие,Позитивен,0.82,благоговение
"до Гост 666: не съм ти използвал името, но искам да ти кажа, че: 1. голям грях е да се покланяш на дявола и да кълнеш; 2. смъpmma не е край, а ВРАТА КЪМ ВЕЧНОСТТА където всеки ще получи според това, което е заслужил тук на Земята. Абсолютно безпредметно е да кълнеш за смъpm защото самото преминаване през ""вратата"" по никакъв начин не променя участта на душата - ако е вършила добри дела отива в рая, ако не - на другото място, но присъдата не зависи от датата на преминаване, разбираш ли???",https://www.dnes.bg/a/448-svobodno-vreme/724077-pravoslavnata-tsarkva-otbelyazva-nedelyata-na-vsi-svetii,Православната църква отбелязва Неделята на вси светии,Негативен,0.86,укор,Неутрален,0.85,спокойствие,Позитивен,0.82,благоговение
А и казвахме на куpBатa да не те събира от земята с вилицата...,https://www.dnes.bg/a/448-svobodno-vreme/724077-pravoslavnata-tsarkva-otbelyazva-nedelyata-na-vsi-svetii,Православната църква отбелязва Неделята на вси светии,Негативен,0.95,презрение,Неутрален,0.85,спокойствие,Позитивен,0.82,благоговение
От утре понеделник 8 юни до 29 юни са Петровите или апостолски пости. ЧЕСТИТ ПРАЗНИК ДНЕС И ЛЕК И СПАСИТЕЛЕН ПОСТ на всички от утре!,https://www.dnes.bg/a/448-svobodno-vreme/724077-pravoslavnata-tsarkva-otbelyazva-nedelyata-na-vsi-svetii,Православната църква отбелязва Неделята на вси светии,Позитивен,0.92,радост,Неутрален,0.85,спокойствие,Позитивен,0.82,благоговение
"Свети Йоан Рилски живее дълги години в отшелничество. По-късно при него идват и други братя. Св. Иван основава манастир с ЦЪРКВА, ЛИТУРГИЯ и ПРИЧАСТИЕ. Престани да хулиш светията и Светата православна църква, Веселине, за да не те накаже Господ за безумието ти.",https://www.dnes.bg/a/448-svobodno-vreme/724077-pravoslavnata-tsarkva-otbelyazva-nedelyata-na-vsi-svetii,Православната църква отбелязва Неделята на вси светии,Негативен,0.82,гняв,Неутрален,0.85,спокойствие,Позитивен,0.82,благоговение
"До: Луцифер-госте, наистина не си нормално",https://www.dnes.bg/a/448-svobodno-vreme/724077-pravoslavnata-tsarkva-otbelyazva-nedelyata-na-vsi-svetii,Православната църква отбелязва Неделята на вси светии,Негативен,0.92,презрение,Неутрален,0.85,спокойствие,Позитивен,0.82,благоговение
"Черен,кpuвоглав чaлгonuтек още ли водиш жалkoто си съществуване?",https://www.dnes.bg/a/448-svobodno-vreme/724077-pravoslavnata-tsarkva-otbelyazva-nedelyata-na-vsi-svetii,Православната църква отбелязва Неделята на вси светии,Негативен,0.99,презрение,Неутрален,0.85,спокойствие,Позитивен,0.82,благоговение
"Неделята на всички Божии светии е посветена на онези, които са просияли като светии с делата си, но все още не са канонизирани или не са ни известни. Също така е напомняне, че светиите са хора и също като нас са били изкушавани с гордост, слава, богатство, плътски и всякакви други страсти. Те не са ангели небесни и също като нас са имали своите съмнения и понякога дори и падения. Но с молитва и помощ от Бога са намерили в себе си сили да се отрекат от злото и да станат ПРИМЕР за нас грешните.",https://www.dnes.bg/a/448-svobodno-vreme/724077-pravoslavnata-tsarkva-otbelyazva-nedelyata-na-vsi-svetii,Православната църква отбелязва Неделята на вси светии,Позитивен,0.82,благоговение,Неутрален,0.85,спокойствие,Позитивен,0.82,благоговение
"Вярвате в завещание, затова оставихте дете си на пето Лама",https://www.dnes.bg/a/448-svobodno-vreme/723952-zabludi-koito-darzhat-horata-v-neshtastni-vrazki,"Заблуди, които държат хората в нещастни връзки",Негативен,0.72,разочарование,Негативен,0.87,разочарование,Негативен,0.82,разочарование
Абе спрете да разбивате семейства с тия статии,https://www.dnes.bg/a/448-svobodno-vreme/723952-zabludi-koito-darzhat-horata-v-neshtastni-vrazki,"Заблуди, които държат хората в нещастни връзки",Негативен,0.92,гняв,Негативен,0.87,разочарование,Негативен,0.82,разочарование
"Статиите за успехите на Украйна, *** и ""разпадането на Русия"".",https://www.dnes.bg/a/448-svobodno-vreme/723952-zabludi-koito-darzhat-horata-v-neshtastni-vrazki,"Заблуди, които държат хората в нещастни връзки",Неутрален,0.62,неутралност,Негативен,0.87,разочарование,Негативен,0.82,разочарование
"Ако ви се прави с*кс, по-добре е да правите такъв. Опитите да си оправите връзките е на втора линия, защото първото е по-големият фактор.",https://www.dnes.bg/a/448-svobodno-vreme/723952-zabludi-koito-darzhat-horata-v-neshtastni-vrazki,"Заблуди, които държат хората в нещастни връзки",Неутрален,0.86,спокойствие,Негативен,0.87,разочарование,Негативен,0.82,разочарование
И още една заблуда: ТЯ може да си прави каквото си иска и да го командва и ще бъдат щастливи.,https://www.dnes.bg/a/448-svobodno-vreme/723952-zabludi-koito-darzhat-horata-v-neshtastni-vrazki,"Заблуди, които държат хората в нещастни връзки",Негативен,0.82,скептицизъм,Негативен,0.87,разочарование,Негативен,0.82,разочарование
".. от нея и дори имаше внуче. Той настоял тя да роди детето, обещал да го припознае, да се разведе и да се ожени за нея. Два месеца след раждането тя отново забременя от него и стана скандал - родителите й настояваха за аборт, но любовникът не разреши. Няколко години след второто раждане все още не беше припознал децата, нито се беше развел. После им загубих дирите, не знам какво е станало.Изводът ми е, че не бива да се слагат жестоки юзди на млад човек, хормонът рано или късно ще си каже думата",https://www.dnes.bg/a/448-svobodno-vreme/723952-zabludi-koito-darzhat-horata-v-neshtastni-vrazki,"Заблуди, които държат хората в нещастни връзки",Негативен,0.82,разочарование,Негативен,0.87,разочарование,Негативен,0.82,разочарование
"Бегло познавах семейство, което се грижеше за дъщеря си като за писано яйце, но и много я ограничаваха - заставиха я да следва задочно /още през соца/, за да не ходи на студентски бригади, на които според тях ставали неморални неща. Заставяха я да ходи на почивка само с тях. Разрешаваха й да дружи само с едно съседско момиче. И в крайна сметка, когато беше на 23 г. и за първи път отиде в командировка далеч от родителския контрол, тя забременя от шефа си, който беше женен, 30 г. по-възрастен от",https://www.dnes.bg/a/448-svobodno-vreme/723952-zabludi-koito-darzhat-horata-v-neshtastni-vrazki,"Заблуди, които държат хората в нещастни връзки",Негативен,0.86,разочарование,Негативен,0.87,разочарование,Негативен,0.82,разочарование
"Че ако лижете жена си редовно, в крайна сметка лекото ухание на веяна скумрия от чатала и ще изчезне!",https://www.dnes.bg/a/448-svobodno-vreme/723952-zabludi-koito-darzhat-horata-v-neshtastni-vrazki,"Заблуди, които държат хората в нещастни връзки",Негативен,0.89,отвращение,Негативен,0.87,разочарование,Негативен,0.82,разочарование
Че точно вашата жена не е миндилИспермояд!,https://www.dnes.bg/a/448-svobodno-vreme/723952-zabludi-koito-darzhat-horata-v-neshtastni-vrazki,"Заблуди, които държат хората в нещастни връзки",Негативен,0.92,презрение,Негативен,0.87,разочарование,Негативен,0.82,разочарование
"До: анонимен 8Римските войници са носели сандали, също и древногръцките, спартанските и тракийските.",https://www.dnes.bg/a/448-svobodno-vreme/723950-sandali-koito-shte-sa-hit-prez-lyatoto,"Сандали, които ще са хит през лятото",Неутрален,0.95,спокойствие,Позитивен,0.72,ентусиазъм,Позитивен,0.92,ентусиазъм
