comment_text,article_url,article_title,comment_sentiment,comment_confidence,comment_dominant_emotion,article_title_sentiment,article_title_confidence,article_title_dominant_emotion,article_sentiment,article_confidence,article_dominant_emotion
"ми направи добро фпичатление плешият замеделски измамник, такъв изказ все едно е бил 10 години всред мазни комунияги у Сибир при Путин.",https://dnes.dir.bg/obshtestvo/trend-za-prav-pat-ot-2009-g-pravitelstvoto-e-s-pozitiven-reyting,"""Тренд"": За пръв път от 2009 г. правителството е с позитивен рейтинг",Негативен,0.87,презрение,Позитивен,0.9,оптимизъм,Позитивен,0.85,оптимизъм
По важно е с какъв рейтинг ще завърши.,https://dnes.dir.bg/obshtestvo/trend-za-prav-pat-ot-2009-g-pravitelstvoto-e-s-pozitiven-reyting,"""Тренд"": За пръв път от 2009 г. правителството е с позитивен рейтинг",Неутрален,0.86,очакване,Позитивен,0.9,оптимизъм,Позитивен,0.85,оптимизъм
"За лумпените , Не е важно дали паницата е Пълна ,Важното е да вярват че е така !",https://dnes.dir.bg/obshtestvo/trend-za-prav-pat-ot-2009-g-pravitelstvoto-e-s-pozitiven-reyting,"""Тренд"": За пръв път от 2009 г. правителството е с позитивен рейтинг",Негативен,0.86,презрение,Позитивен,0.9,оптимизъм,Позитивен,0.85,оптимизъм
На последните избори социолозите подцениха само ПБ.,https://dnes.dir.bg/obshtestvo/trend-za-prav-pat-ot-2009-g-pravitelstvoto-e-s-pozitiven-reyting,"""Тренд"": За пръв път от 2009 г. правителството е с позитивен рейтинг",Неутрален,0.92,неутралност,Позитивен,0.9,оптимизъм,Позитивен,0.85,оптимизъм
На последните избори социолозите подцениха овчето стадо!!!,https://dnes.dir.bg/obshtestvo/trend-za-prav-pat-ot-2009-g-pravitelstvoto-e-s-pozitiven-reyting,"""Тренд"": За пръв път от 2009 г. правителството е с позитивен рейтинг",Негативен,0.92,гняв,Позитивен,0.9,оптимизъм,Позитивен,0.85,оптимизъм
"Резултатите от последните избори бяха ""масажирани"" както и на всички предишни. Към настоящия момент такъв вариант устройва господарите. А нас дали ни устройва е без значение - повечето са вече сготвени.",https://dnes.dir.bg/obshtestvo/trend-za-prav-pat-ot-2009-g-pravitelstvoto-e-s-pozitiven-reyting,"""Тренд"": За пръв път от 2009 г. правителството е с позитивен рейтинг",Негативен,0.94,разочарование,Позитивен,0.9,оптимизъм,Позитивен,0.85,оптимизъм
"Беше до вчера. Вчера стана ясно, че това не е български кабинет. Това е руска колониална власт. Губернатор Рубльов.....Въобще не се мисли за проблемите на българите. За инфлация, за заплати, за бюджета нищо. Ама видите ли ги било страх от хиперзвукови ракети, които са 10 броя в цяла Русия и са предназначени за скъпи цели, каквито в България няма нито една!!! Няма какво в България да оправдае ракета за 50-100 милиона долара. Просто нямаме цели стрували толкова, колкото ракетата....Ама пак наводнения, сеч на гори, беднотия, липса на инвестиции, слабо образование... въобще не вълнуват льотчика.Мега зле са. Просто човек да ги гледа какво правят. Всеки ден се излагат повече....",https://dnes.dir.bg/obshtestvo/trend-za-prav-pat-ot-2009-g-pravitelstvoto-e-s-pozitiven-reyting,"""Тренд"": За пръв път от 2009 г. правителството е с позитивен рейтинг",Негативен,0.98,гняв,Позитивен,0.9,оптимизъм,Позитивен,0.85,оптимизъм
Най - накрая има правителство което работи що годе адекватно и хората го усещат. След тоталния идиотизъм и некомпетентност последните 10 на години най-накаря има причини за някакъв оптимизъм. Ха дано да профдължават в същия дух!,https://dnes.dir.bg/obshtestvo/trend-za-prav-pat-ot-2009-g-pravitelstvoto-e-s-pozitiven-reyting,"""Тренд"": За пръв път от 2009 г. правителството е с позитивен рейтинг",Позитивен,0.88,оптимизъм,Позитивен,0.9,оптимизъм,Позитивен,0.85,оптимизъм
И какво усети???,https://dnes.dir.bg/obshtestvo/trend-za-prav-pat-ot-2009-g-pravitelstvoto-e-s-pozitiven-reyting,"""Тренд"": За пръв път от 2009 г. правителството е с позитивен рейтинг",Неутрален,0.88,любопитство,Позитивен,0.9,оптимизъм,Позитивен,0.85,оптимизъм
"Усетих че прасето и тиквата са по ниски от тревата и без охрана, усетих че главния прокурор вече не е главен... усетих че взеха да хвърчат ДПС-арски кметове, взеха да се разплитат мафиотски строежи във Варна, приеха се закони които ако се приложат могат да ограничат повишването на цените, а дори (дай боже) и да ги понамалят. Усетих че се спря с идеите да се дават безвъмездно пари за украйна. Ти не го ли усети ?",https://dnes.dir.bg/obshtestvo/trend-za-prav-pat-ot-2009-g-pravitelstvoto-e-s-pozitiven-reyting,"""Тренд"": За пръв път от 2009 г. правителството е с позитивен рейтинг",Позитивен,0.82,удовлетворение,Позитивен,0.9,оптимизъм,Позитивен,0.85,оптимизъм
"Оптимизмът ти е като на лудия, който се радвал, че останалите луди се опитват да разбият нарисувана врата, а той седял и се хилел доволно, защото знаел, че като се изморят той ще отвори, защото ключът от нарисуваната врата бил в него.Иначе казано, няма никаква връзка с фактите, което обяснява и защо сме най-бедната държава в Европа.",https://dnes.dir.bg/obshtestvo/trend-za-prav-pat-ot-2009-g-pravitelstvoto-e-s-pozitiven-reyting,"""Тренд"": За пръв път от 2009 г. правителството е с позитивен рейтинг",Негативен,0.95,презрение,Позитивен,0.9,оптимизъм,Позитивен,0.85,оптимизъм
НАЙ - КУХИТЕ ЛЕЙКИ СА ОПОЗИЦИЯТАПОНЕЖЕВЯРВАТ В ЛЕТЯЩИ ПРАСЕТА:),https://dnes.dir.bg/obshtestvo/trend-za-prav-pat-ot-2009-g-pravitelstvoto-e-s-pozitiven-reyting,"""Тренд"": За пръв път от 2009 г. правителството е с позитивен рейтинг",Негативен,0.92,презрение,Позитивен,0.9,оптимизъм,Позитивен,0.85,оптимизъм
За първи път от 2009 чета толкова забавен виц.,https://dnes.dir.bg/obshtestvo/trend-za-prav-pat-ot-2009-g-pravitelstvoto-e-s-pozitiven-reyting,"""Тренд"": За пръв път от 2009 г. правителството е с позитивен рейтинг",Позитивен,0.95,веселие,Позитивен,0.9,оптимизъм,Позитивен,0.85,оптимизъм
"Поредната лъжа!Това правителство на яки комунисти/ ДС ченгета не е направило нищо.А МУНЧО/ льотчика върви из Европа, плещи глупости и ни излага.Скоро ще му хлопнат вратите от всякаде.",https://dnes.dir.bg/obshtestvo/trend-za-prav-pat-ot-2009-g-pravitelstvoto-e-s-pozitiven-reyting,"""Тренд"": За пръв път от 2009 г. правителството е с позитивен рейтинг",Негативен,0.98,гняв,Позитивен,0.9,оптимизъм,Позитивен,0.85,оптимизъм
на теб целия ти живот е лъжа ама за това са виновни майка ти и баща ти.,https://dnes.dir.bg/obshtestvo/trend-za-prav-pat-ot-2009-g-pravitelstvoto-e-s-pozitiven-reyting,"""Тренд"": За пръв път от 2009 г. правителството е с позитивен рейтинг",Негативен,0.96,презрение,Позитивен,0.9,оптимизъм,Позитивен,0.85,оптимизъм
"Руският троянски клоун Радев, който не умее да се усмихва от сърце ( посочете ми изключение с негова снимка!), се изяви като руски троянски клонинг в Париж, където поиска ревизия на европейската подкрепа за Украйна.",https://dnes.dir.bg/obshtestvo/trend-za-prav-pat-ot-2009-g-pravitelstvoto-e-s-pozitiven-reyting,"""Тренд"": За пръв път от 2009 г. правителството е с позитивен рейтинг",Негативен,0.96,гняв,Позитивен,0.9,оптимизъм,Позитивен,0.85,оптимизъм
"Болшинството от българите са неуки кухари с комплекс за малоценност. И когато премиера е малко по-учен от пожарникар или охранител те не се отъждествяват с него. Когато им говори за ЕВропа, Украйна, НАТо, те гледат като магарета. Но когато се появи тъп популист, който обещава явни лъжи и ти говори за българският език,че е щит срещу глобализма и как трябва да се помирим с Русия. тия русофили получават ерекция и свършват три пъти, защото им говори като на телета, а и защото самият той е блести с интелект. Много скъпо ще ви излезе популисткият Радев, дори след като си препатирм заради вас, пак няма да ви дойде акъла, който го нямате. Така,че тези проучвания за ташаци за тъпи копейки.",https://dnes.dir.bg/obshtestvo/trend-za-prav-pat-ot-2009-g-pravitelstvoto-e-s-pozitiven-reyting,"""Тренд"": За пръв път от 2009 г. правителството е с позитивен рейтинг",Негативен,0.98,гняв,Позитивен,0.9,оптимизъм,Позитивен,0.85,оптимизъм
"малоко ""по учен"" ?!Смях в залата.",https://dnes.dir.bg/obshtestvo/trend-za-prav-pat-ot-2009-g-pravitelstvoto-e-s-pozitiven-reyting,"""Тренд"": За пръв път от 2009 г. правителството е с позитивен рейтинг",Негативен,0.68,ирония,Позитивен,0.9,оптимизъм,Позитивен,0.85,оптимизъм
и ми се навира на лили ивановав канала.Не искам биволицата Йотова.,https://dnes.dir.bg/obshtestvo/trend-za-prav-pat-ot-2009-g-pravitelstvoto-e-s-pozitiven-reyting,"""Тренд"": За пръв път от 2009 г. правителството е с позитивен рейтинг",Негативен,0.94,раздразнение,Позитивен,0.9,оптимизъм,Позитивен,0.85,оптимизъм
парите вършат чудеса!,https://dnes.dir.bg/obshtestvo/trend-za-prav-pat-ot-2009-g-pravitelstvoto-e-s-pozitiven-reyting,"""Тренд"": За пръв път от 2009 г. правителството е с позитивен рейтинг",Позитивен,0.92,възхищение,Позитивен,0.9,оптимизъм,Позитивен,0.85,оптимизъм
Стъкмистиката работи,https://dnes.dir.bg/obshtestvo/trend-za-prav-pat-ot-2009-g-pravitelstvoto-e-s-pozitiven-reyting,"""Тренд"": За пръв път от 2009 г. правителството е с позитивен рейтинг",Позитивен,0.78,удовлетворение,Позитивен,0.9,оптимизъм,Позитивен,0.85,оптимизъм
"Отдавна не сме имали избран премиер който да не е пряко наложен отвън пъпет.В същото време Премиерът се радва и на добър прием в чужбуна.Това е много рядко съвпадение в модертната ни история. Може би, голям шанс за България да проведе нужните й политики без вънпен и вътрешен саботаж.За момента основният проблем е че 90% от изпълнителите в администрацията са същите и действат по същия онзи начин, заради който предишните управляващи се провалиха тоално. Това е армия от десеткихиляди бюрократи, пуснали пипала наясякъде.ПБ трябва много да внимава с тази лепкава сган от нагаждачи. Ще пробват по всякакъв начин да се адаптират, да се пребоядисат, да запазят контрола и да продължат по старому. А успеят ли - ще забият нож в гърба на Премиера и ще свалят управлението....Битката не е приключила. Всяка смяна на подобен индивид ще бъде повод за искри.Успех!",https://dnes.dir.bg/obshtestvo/trend-za-prav-pat-ot-2009-g-pravitelstvoto-e-s-pozitiven-reyting,"""Тренд"": За пръв път от 2009 г. правителството е с позитивен рейтинг",Негативен,0.68,тревога,Позитивен,0.9,оптимизъм,Позитивен,0.85,оптимизъм
"КРЕМЪЛЧО РАДЕВ , ДРУГ ЩЕ МУ Е ВИНОВЕН . ТОЙ СИ Е ЧИСТА ПРОБА НЕ КАДЪРЕН .",https://dnes.dir.bg/obshtestvo/trend-za-prav-pat-ot-2009-g-pravitelstvoto-e-s-pozitiven-reyting,"""Тренд"": За пръв път от 2009 г. правителството е с позитивен рейтинг",Негативен,0.98,гняв,Позитивен,0.9,оптимизъм,Позитивен,0.85,оптимизъм
"Помежду уригванията ли успя да го сътвориш?26 години силен зоб, крадене и келепир.",https://dnes.dir.bg/obshtestvo/trend-za-prav-pat-ot-2009-g-pravitelstvoto-e-s-pozitiven-reyting,"""Тренд"": За пръв път от 2009 г. правителството е с позитивен рейтинг",Негативен,0.96,презрение,Позитивен,0.9,оптимизъм,Позитивен,0.85,оптимизъм
го прибрали в лудницата.,https://dnes.dir.bg/obshtestvo/trend-za-prav-pat-ot-2009-g-pravitelstvoto-e-s-pozitiven-reyting,"""Тренд"": За пръв път от 2009 г. правителството е с позитивен рейтинг",Негативен,0.82,презрение,Позитивен,0.9,оптимизъм,Позитивен,0.85,оптимизъм
"Рибата е много, но нека, все пак и рибарите трябва да ядат :) хахахахаххахахаха Кълвете каракудки мои на гола кукична :) ахахахахахаха",https://dnes.dir.bg/obshtestvo/trend-za-prav-pat-ot-2009-g-pravitelstvoto-e-s-pozitiven-reyting,"""Тренд"": За пръв път от 2009 г. правителството е с позитивен рейтинг",Позитивен,0.92,веселие,Позитивен,0.9,оптимизъм,Позитивен,0.85,оптимизъм
"пак много ги изтърпяхме... дано тази мутризация най-сетне да изчезне. не може да управляваш с бухалки и репресии, да грабиш и да тъпчеш и да приемаш цяла държава като бащиния!",https://dnes.dir.bg/obshtestvo/trend-za-prav-pat-ot-2009-g-pravitelstvoto-e-s-pozitiven-reyting,"""Тренд"": За пръв път от 2009 г. правителството е с позитивен рейтинг",Негативен,0.96,гняв,Позитивен,0.9,оптимизъм,Позитивен,0.85,оптимизъм
"Още нищо не са направили а такова доверие, доста се съмнявам в тази стъкмистика. Има някакъм лъч, но ще наблюдаваме. Имат с много проблеми да се справят.Важното е да има осъдени и вкарани в затвора доказано коромпирани хора и престъпници. Само тогава хората ще повярват и ще се успокоят.",https://dnes.dir.bg/obshtestvo/trend-za-prav-pat-ot-2009-g-pravitelstvoto-e-s-pozitiven-reyting,"""Тренд"": За пръв път от 2009 г. правителството е с позитивен рейтинг",Негативен,0.78,съмнение,Позитивен,0.9,оптимизъм,Позитивен,0.85,оптимизъм
Рибата е много :),https://dnes.dir.bg/obshtestvo/trend-za-prav-pat-ot-2009-g-pravitelstvoto-e-s-pozitiven-reyting,"""Тренд"": За пръв път от 2009 г. правителството е с позитивен рейтинг",Позитивен,0.78,радост,Позитивен,0.9,оптимизъм,Позитивен,0.85,оптимизъм
"За кое по-точно е с позитивен рейтинг? За назначенията, за новия дълг, за хвърчащите нагоре цени, за замразяването на заплати, за инфлацията, за неадекватната външна политика, за неадекватната вътрешна политика, за коригирането на заплатите им, за кое по-точно, че не разбрах?",https://dnes.dir.bg/obshtestvo/trend-za-prav-pat-ot-2009-g-pravitelstvoto-e-s-pozitiven-reyting,"""Тренд"": За пръв път от 2009 г. правителството е с позитивен рейтинг",Негативен,0.96,гняв,Позитивен,0.9,оптимизъм,Позитивен,0.85,оптимизъм
"Взехте от народа пари,като вдигнахте осигуровките,а вашите заплати си вдигнахте,няма как такова правителство и парламент да бъдат одобрени! На всичкото отгоре правят по лесен вноса на работници от третия свят и подписаха меморандом за пълненето на държавата с мигранти,такива продажници не е имало и по турско робство!",https://dnes.dir.bg/obshtestvo/trend-za-prav-pat-ot-2009-g-pravitelstvoto-e-s-pozitiven-reyting,"""Тренд"": За пръв път от 2009 г. правителството е с позитивен рейтинг",Негативен,0.98,гняв,Позитивен,0.9,оптимизъм,Позитивен,0.85,оптимизъм
"Тава са глупости- обществото ни е толкова нетърпимо към несвършена работа, че скоро ще изббухне пак камо ли да расте одобрението...........ми нали и тия правят същото-вдигат пенсии, толерират МВР и всички шапкари, едно голямо нищо с цените, още по-голямо нищо със съкращаването на д.администрация, а сиви сектор се шири в държавата яко се краде-от телкове, от неиздадени касови бележки, от клатене на крака в администрацията. Те започнаха с това кай ще защитят от съкращиния и на кой ще вдигнат доходите.................абсурдно е одобрението",https://dnes.dir.bg/obshtestvo/trend-za-prav-pat-ot-2009-g-pravitelstvoto-e-s-pozitiven-reyting,"""Тренд"": За пръв път от 2009 г. правителството е с позитивен рейтинг",Негативен,0.98,гняв,Позитивен,0.9,оптимизъм,Позитивен,0.85,оптимизъм
"Платена агенция и статия,недоволството е масово след вдигането на осигуровките! Следващите избори са близо и шамарът ще е звучен..",https://dnes.dir.bg/obshtestvo/trend-za-prav-pat-ot-2009-g-pravitelstvoto-e-s-pozitiven-reyting,"""Тренд"": За пръв път от 2009 г. правителството е с позитивен рейтинг",Негативен,0.94,гняв,Позитивен,0.9,оптимизъм,Позитивен,0.85,оптимизъм
