comment,sentiment,confidence,dominant_emotion,article_url
"Усетих че прасето и тиквата са по ниски от тревата и без охрана, усетих че главния прокурор вече не е главен... усетих че взеха да хвърчат ДПС-арски кметове, взеха да се разплитат мафиотски строежи във Варна, приеха се закони които ако се приложат могат да ограничат повишването на цените, а дори (дай боже) и да ги понамалят. Усетих че се спря с идеите да се дават безвъмездно пари за украйна. Ти не го ли усети ?",Позитивен,0.72,надежда,https://dnes.dir.bg/obshtestvo/trend-za-prav-pat-ot-2009-g-pravitelstvoto-e-s-pozitiven-reyting
"Оптимизмът ти е като на лудия, който се радвал, че останалите луди се опитват да разбият нарисувана врата, а той седял и се хилел доволно, защото знаел, че като се изморят той ще отвори, защото ключът от нарисуваната врата бил в него.Иначе казано, няма никаква връзка с фактите, което обяснява и защо сме най-бедната държава в Европа.",Негативен,0.87,презрение,https://dnes.dir.bg/obshtestvo/trend-za-prav-pat-ot-2009-g-pravitelstvoto-e-s-pozitiven-reyting
НАЙ - КУХИТЕ ЛЕЙКИ СА ОПОЗИЦИЯТАПОНЕЖЕВЯРВАТ В ЛЕТЯЩИ ПРАСЕТА:),Негативен,0.72,презрение,https://dnes.dir.bg/obshtestvo/trend-za-prav-pat-ot-2009-g-pravitelstvoto-e-s-pozitiven-reyting
За първи път от 2009 чета толкова забавен виц.,Позитивен,0.88,радост,https://dnes.dir.bg/obshtestvo/trend-za-prav-pat-ot-2009-g-pravitelstvoto-e-s-pozitiven-reyting
"Поредната лъжа!Това правителство на яки комунисти/ ДС ченгета не е направило нищо.А МУНЧО/ льотчика върви из Европа, плещи глупости и ни излага.Скоро ще му хлопнат вратите от всякаде.",Негативен,0.97,гняв,https://dnes.dir.bg/obshtestvo/trend-za-prav-pat-ot-2009-g-pravitelstvoto-e-s-pozitiven-reyting
на теб целия ти живот е лъжа ама за това са виновни майка ти и баща ти.,Негативен,0.91,гняв,https://dnes.dir.bg/obshtestvo/trend-za-prav-pat-ot-2009-g-pravitelstvoto-e-s-pozitiven-reyting
"Руският троянски клоун Радев, който не умее да се усмихва от сърце ( посочете ми изключение с негова снимка!), се изяви като руски троянски клонинг в Париж, където поиска ревизия на европейската подкрепа за Украйна.",Негативен,0.97,презрение,https://dnes.dir.bg/obshtestvo/trend-za-prav-pat-ot-2009-g-pravitelstvoto-e-s-pozitiven-reyting
"Болшинството от българите са неуки кухари с комплекс за малоценност. И когато премиера е малко по-учен от пожарникар или охранител те не се отъждествяват с него. Когато им говори за ЕВропа, Украйна, НАТо, те гледат като магарета. Но когато се появи тъп популист, който обещава явни лъжи и ти говори за българският език,че е щит срещу глобализма и как трябва да се помирим с Русия. тия русофили получават ерекция и свършват три пъти, защото им говори като на телета, а и защото самият той е блести с интелект. Много скъпо ще ви излезе популисткият Радев, дори след като си препатирм заради вас, пак няма да ви дойде акъла, който го нямате. Така,че тези проучвания за ташаци за тъпи копейки.",Негативен,0.97,презрение,https://dnes.dir.bg/obshtestvo/trend-za-prav-pat-ot-2009-g-pravitelstvoto-e-s-pozitiven-reyting
"малоко ""по учен"" ?!Смях в залата.",Негативен,0.62,подигравка,https://dnes.dir.bg/obshtestvo/trend-za-prav-pat-ot-2009-g-pravitelstvoto-e-s-pozitiven-reyting
и ми се навира на лили ивановав канала.Не искам биволицата Йотова.,Негативен,0.95,отвращение,https://dnes.dir.bg/obshtestvo/trend-za-prav-pat-ot-2009-g-pravitelstvoto-e-s-pozitiven-reyting
парите вършат чудеса!,Позитивен,0.82,възхищение,https://dnes.dir.bg/obshtestvo/trend-za-prav-pat-ot-2009-g-pravitelstvoto-e-s-pozitiven-reyting
Стъкмистиката работи,Неутрален,0.5,спокойствие,https://dnes.dir.bg/obshtestvo/trend-za-prav-pat-ot-2009-g-pravitelstvoto-e-s-pozitiven-reyting
"Отдавна не сме имали избран премиер който да не е пряко наложен отвън пъпет.В същото време Премиерът се радва и на добър прием в чужбуна.Това е много рядко съвпадение в модертната ни история. Може би, голям шанс за България да проведе нужните й политики без вънпен и вътрешен саботаж.За момента основният проблем е че 90% от изпълнителите в администрацията са същите и действат по същия онзи начин, заради който предишните управляващи се провалиха тоално. Това е армия от десеткихиляди бюрократи, пуснали пипала наясякъде.ПБ трябва много да внимава с тази лепкава сган от нагаждачи. Ще пробват по всякакъв начин да се адаптират, да се пребоядисат, да запазят контрола и да продължат по старому. А успеят ли - ще забият нож в гърба на Премиера и ще свалят управлението....Битката не е приключила. Всяка смяна на подобен индивид ще бъде повод за искри.Успех!",Позитивен,0.52,надежда,https://dnes.dir.bg/obshtestvo/trend-za-prav-pat-ot-2009-g-pravitelstvoto-e-s-pozitiven-reyting
"КРЕМЪЛЧО РАДЕВ , ДРУГ ЩЕ МУ Е ВИНОВЕН . ТОЙ СИ Е ЧИСТА ПРОБА НЕ КАДЪРЕН .",Негативен,0.97,гняв,https://dnes.dir.bg/obshtestvo/trend-za-prav-pat-ot-2009-g-pravitelstvoto-e-s-pozitiven-reyting
"Помежду уригванията ли успя да го сътвориш?26 години силен зоб, крадене и келепир.",Негативен,0.93,презрение,https://dnes.dir.bg/obshtestvo/trend-za-prav-pat-ot-2009-g-pravitelstvoto-e-s-pozitiven-reyting
го прибрали в лудницата.,Негативен,0.82,пренебрежение,https://dnes.dir.bg/obshtestvo/trend-za-prav-pat-ot-2009-g-pravitelstvoto-e-s-pozitiven-reyting
"Рибата е много, но нека, все пак и рибарите трябва да ядат :) хахахахаххахахаха Кълвете каракудки мои на гола кукична :) ахахахахахаха",Позитивен,0.91,радост,https://dnes.dir.bg/obshtestvo/trend-za-prav-pat-ot-2009-g-pravitelstvoto-e-s-pozitiven-reyting
"пак много ги изтърпяхме... дано тази мутризация най-сетне да изчезне. не може да управляваш с бухалки и репресии, да грабиш и да тъпчеш и да приемаш цяла държава като бащиния!",Негативен,0.97,гняв,https://dnes.dir.bg/obshtestvo/trend-za-prav-pat-ot-2009-g-pravitelstvoto-e-s-pozitiven-reyting
"Още нищо не са направили а такова доверие, доста се съмнявам в тази стъкмистика. Има някакъм лъч, но ще наблюдаваме. Имат с много проблеми да се справят.Важното е да има осъдени и вкарани в затвора доказано коромпирани хора и престъпници. Само тогава хората ще повярват и ще се успокоят.",Негативен,0.78,скептицизъм,https://dnes.dir.bg/obshtestvo/trend-za-prav-pat-ot-2009-g-pravitelstvoto-e-s-pozitiven-reyting
Рибата е много :),Позитивен,0.82,радост,https://dnes.dir.bg/obshtestvo/trend-za-prav-pat-ot-2009-g-pravitelstvoto-e-s-pozitiven-reyting
"За кое по-точно е с позитивен рейтинг? За назначенията, за новия дълг, за хвърчащите нагоре цени, за замразяването на заплати, за инфлацията, за неадекватната външна политика, за неадекватната вътрешна политика, за коригирането на заплатите им, за кое по-точно, че не разбрах?",Негативен,0.97,гняв,https://dnes.dir.bg/obshtestvo/trend-za-prav-pat-ot-2009-g-pravitelstvoto-e-s-pozitiven-reyting
"Взехте от народа пари,като вдигнахте осигуровките,а вашите заплати си вдигнахте,няма как такова правителство и парламент да бъдат одобрени! На всичкото отгоре правят по лесен вноса на работници от третия свят и подписаха меморандом за пълненето на държавата с мигранти,такива продажници не е имало и по турско робство!",Негативен,0.98,гняв,https://dnes.dir.bg/obshtestvo/trend-za-prav-pat-ot-2009-g-pravitelstvoto-e-s-pozitiven-reyting
"Тава са глупости- обществото ни е толкова нетърпимо към несвършена работа, че скоро ще изббухне пак камо ли да расте одобрението...........ми нали и тия правят същото-вдигат пенсии, толерират МВР и всички шапкари, едно голямо нищо с цените, още по-голямо нищо със съкращаването на д.администрация, а сиви сектор се шири в държавата яко се краде-от телкове, от неиздадени касови бележки, от клатене на крака в администрацията. Те започнаха с това кай ще защитят от съкращиния и на кой ще вдигнат доходите.................абсурдно е одобрението",Негативен,0.97,гняв,https://dnes.dir.bg/obshtestvo/trend-za-prav-pat-ot-2009-g-pravitelstvoto-e-s-pozitiven-reyting
"Платена агенция и статия,недоволството е масово след вдигането на осигуровките! Следващите избори са близо и шамарът ще е звучен..",Негативен,0.93,гняв,https://dnes.dir.bg/obshtestvo/trend-za-prav-pat-ot-2009-g-pravitelstvoto-e-s-pozitiven-reyting
"Просто набраната инерция от началото постепенно свършва. Ако се вършеше нещо за хората, такива статии, тип ""платена публикация"" щяха да са напълно ненужни, и нямаше да съществуват.",Негативен,0.87,разочарование,https://dnes.dir.bg/obshtestvo/trend-za-prav-pat-ot-2009-g-pravitelstvoto-e-s-pozitiven-reyting
"Заливате ли ни дира с платени проучвания как вид ли ние си харесваме чорапа, заливате ли ни шибаняци? Нищо, наесен с песен ще го махнем",Негативен,0.93,гняв,https://dnes.dir.bg/obshtestvo/trend-za-prav-pat-ot-2009-g-pravitelstvoto-e-s-pozitiven-reyting
Цъкнах плюс и излезнаха десет минуса.,Негативен,0.82,разочарование,https://dnes.dir.bg/obshtestvo/trend-za-prav-pat-ot-2009-g-pravitelstvoto-e-s-pozitiven-reyting
"Разбира се, как да няма одобрение?! Стана ясно, че никакви реформи няма да направят. МВР, военни, данс, разузнаване, съдебна система, нап, кфн и т.н. заплати ще си взимат месечно между 5000 евро и 15000 евро заплата на човек... ще си раздават щедро годишни бонуси и ДМС, 13та и 14та заплата....В държавната администрация за близо милион на държавна хранилка, как да няма одобрение?!Радев няма смелост да извади прокуратурата и следствието от съдебната система. Радев няма смелост да уволни пенсионерите в администрацията и да съкрати числеността на администрацията значително.... всичко това са гърла носещи гласове нали?! Жалко....Всичко си продължава по стария начин, само се смениха лицата и имената....Да му мислим всички останали в частния сектор, жална ни майка.",Негативен,0.97,разочарование,https://dnes.dir.bg/obshtestvo/trend-za-prav-pat-ot-2009-g-pravitelstvoto-e-s-pozitiven-reyting
"Не забравяй, че при пенсиониране държавните служители, МВР, военни, съдебната система взимат и по сладки 20 заплати т.е. това са пари за два апартамента....Отделно никой от тези чантаджии не заплаща осигуровките си, ние им ги плащаме....Защо тези блага не им ги отнеме Радев най-сетне?!?!??!",Негативен,0.97,гняв,https://dnes.dir.bg/obshtestvo/trend-za-prav-pat-ot-2009-g-pravitelstvoto-e-s-pozitiven-reyting
затваряме фирмите и всички на борсата.ще чакаме и ние на държавата.,Негативен,0.82,разочарование,https://dnes.dir.bg/obshtestvo/trend-za-prav-pat-ot-2009-g-pravitelstvoto-e-s-pozitiven-reyting
"Българинът проявява някаква много извратена форма на мазохизъм. Гласува пълно доверие на човек, станал генерал, главнокомандващ, Президент - два пъти, по време на ""овладяната от мафията държава"" да се бори с нея!!! Че има ли изобщо човек в тая страна, който да се е облагодетелствал повече от овладяната от мафията държава от Радев? А сега си го избрахте и за Министър Председател, за да ви изолира от Европа, да върне комунизма и да ви направи руски роби. Досега други заявки от управлунието му няма.",Негативен,0.97,гняв,https://dnes.dir.bg/obshtestvo/trend-za-prav-pat-ot-2009-g-pravitelstvoto-e-s-pozitiven-reyting
"Човече, Бангарангата ти е дошла в повече",Негативен,0.72,раздразнение,https://dnes.dir.bg/obshtestvo/trend-za-prav-pat-ot-2009-g-pravitelstvoto-e-s-pozitiven-reyting
"Човече, кое не е така???",Негативен,0.62,разочарование,https://dnes.dir.bg/obshtestvo/trend-za-prav-pat-ot-2009-g-pravitelstvoto-e-s-pozitiven-reyting
Сигурно си някой много глупав жълтопаветник,Негативен,0.95,презрение,https://dnes.dir.bg/obshtestvo/trend-za-prav-pat-ot-2009-g-pravitelstvoto-e-s-pozitiven-reyting
"Когато излизаш на жълтите павета за да защита свободата на семейството си и държавата, я която живееш...това е чест. Чест, че си над тези маймуни , които гласуваха за този, които ще ни върне с 50 години назад....Чест, че си свободен да изразиш волята си и да не ти пука от опорки и т.н. Но ти не можеш да го разбереш маймуно първобитна. За жалост тук сте много...но лека полека ще ви нулираме.",Негативен,0.97,презрение,https://dnes.dir.bg/obshtestvo/trend-za-prav-pat-ot-2009-g-pravitelstvoto-e-s-pozitiven-reyting
Че той и Хитлер се е издигнал от ефрейтор до канцлер...,Негативен,0.72,презрение,https://dnes.dir.bg/obshtestvo/trend-za-prav-pat-ot-2009-g-pravitelstvoto-e-s-pozitiven-reyting
Е щом плюеш значи сме гласували за правилният човек !,Позитивен,0.72,триумф,https://dnes.dir.bg/obshtestvo/trend-za-prav-pat-ot-2009-g-pravitelstvoto-e-s-pozitiven-reyting
"И за кое точно на Радев гласувахте??? Няма партия, няма програма, събран екип от отцепници от други партии, нищо не казва!!!",Негативен,0.97,гняв,https://dnes.dir.bg/obshtestvo/trend-za-prav-pat-ot-2009-g-pravitelstvoto-e-s-pozitiven-reyting
"Никой от ""новите месии"" не разбра явно, че докато не навкара една сериозна част от ""старите месии"" в специализирани заведения за превъзпитание, няма да се получи нищо в тази държава, в която от памтивека е царял единствено и само айдоклук. Керванът си върви, кучетата си лаят...",Негативен,0.92,разочарование,https://dnes.dir.bg/obshtestvo/trend-za-prav-pat-ot-2009-g-pravitelstvoto-e-s-pozitiven-reyting
Всички партийки са едно и с един господар зад океана.Просто играят по сценарий с различни роли,Негативен,0.88,цинизъм,https://dnes.dir.bg/obshtestvo/trend-za-prav-pat-ot-2009-g-pravitelstvoto-e-s-pozitiven-reyting
нова власт нови лизачишарлатаните въвъ възход..дебилите също...,Негативен,0.95,презрение,https://dnes.dir.bg/obshtestvo/trend-za-prav-pat-ot-2009-g-pravitelstvoto-e-s-pozitiven-reyting
Доверие на базата на какво ? Същите като другите... теглят заеми... приказват как предните са крали без един да има подведен под отговорност за кражбите! Дайте и аз да открадна 100-200 милиона пък след това ме плюйте и ме уволнете за 'наказание'! Даже може да ме пишете и по вестниците как нищо не става от мен и какъв съм бил измамник! Боли ме патката за вашите 'мерки' като няма един вкаран в панделата!,Негативен,0.97,гняв,https://dnes.dir.bg/obshtestvo/trend-za-prav-pat-ot-2009-g-pravitelstvoto-e-s-pozitiven-reyting
"Само да попитам кога бяха изборите? На 29 април ли беше? Гледам тук вече плюят колко малко било свършило правителството за толкова много време, удобно забравяйки, че последното редовно правителство само председател на парламата е избирало 109 дни ли беше рекорда? Сигурно боли да си фен на Боко и Шиши в такъв момент?",Негативен,0.78,ирония,https://dnes.dir.bg/obshtestvo/trend-za-prav-pat-ot-2009-g-pravitelstvoto-e-s-pozitiven-reyting
"на 19 април. И да, хората очакваха радикални промени. Досега вижаме още от предишното",Негативен,0.78,разочарование,https://dnes.dir.bg/obshtestvo/trend-za-prav-pat-ot-2009-g-pravitelstvoto-e-s-pozitiven-reyting
"Ами иди при предишното да ти оправи положението, без това втория им ешалон се е окопал и мълчи да не го изчегъртат",Негативен,0.82,раздразнение,https://dnes.dir.bg/obshtestvo/trend-za-prav-pat-ot-2009-g-pravitelstvoto-e-s-pozitiven-reyting
"роската, предните бяха тотална щета, това е ясно. Ама не ми защитавай и сегашните, които засега са същите, и опасявам се, отново излъгаха българския народ. Първо да видя резултати, тогава ще ги хваля",Негативен,0.87,недоверие,https://dnes.dir.bg/obshtestvo/trend-za-prav-pat-ot-2009-g-pravitelstvoto-e-s-pozitiven-reyting
Не бъркай обективизъм с политически пристрастия. Много молим. Коренно различни неща са.,Негативен,0.78,раздразнение,https://dnes.dir.bg/obshtestvo/trend-za-prav-pat-ot-2009-g-pravitelstvoto-e-s-pozitiven-reyting
"За какъв обективизъм може да ми говориш, когато всички знаем за калинките, за батко и братко и родите на всичките гербери? Аз не съм активист на никоя партия и писах, че гласувам на избори само с наказателен вот и съвсем обективно заявявам, че няма как да изтръгнеш всички подводни камъни на Боко и Шиши само за месец от цялата държава! Няма как да го направиш само от силовите институции, какво да говорим за всички други места, където са си сложили такива.",Негативен,0.91,негодувание,https://dnes.dir.bg/obshtestvo/trend-za-prav-pat-ot-2009-g-pravitelstvoto-e-s-pozitiven-reyting
кой пречеше всячески да се избере председател на Парламента?,Негативен,0.78,недоволство,https://dnes.dir.bg/obshtestvo/trend-za-prav-pat-ot-2009-g-pravitelstvoto-e-s-pozitiven-reyting
"Ако Гълъба е финансист, то аз съм астронавт! Същото важи и за Нужка - пътната карта, Георг-външния и т.н. А наш Гани само чака спасителя и се надява да се оправи! Кое бре Джони да се оправи! Щетите са направени и е непоправимо!",Негативен,0.93,гняв,https://dnes.dir.bg/obshtestvo/trend-za-prav-pat-ot-2009-g-pravitelstvoto-e-s-pozitiven-reyting
"Здравей, астронавте!",Позитивен,0.82,радост,https://dnes.dir.bg/obshtestvo/trend-za-prav-pat-ot-2009-g-pravitelstvoto-e-s-pozitiven-reyting
"Щом вкараха социологическата пропаганда на месец първи, май нещата не са добре.",Негативен,0.78,загриженост,https://dnes.dir.bg/obshtestvo/trend-za-prav-pat-ot-2009-g-pravitelstvoto-e-s-pozitiven-reyting
