,sentiment,confidence,dominant_emotion
До 21. Точно ТИ пък откъде го знаеш това? А и нали новият министър с поглед на пациент от психиатрична клиника смени всички директори на ОДМВР?,Негативен,0.94,гняв
"До 20. Не, нищо няма да направи радеф. А и няма за какво.",Неутрален,0.72,скептицизъм
МВР е замесено.Те трябва да издирят личните карти на починалите в определен от закона срок.Цялата полиция в монтанско е обвързана с ГЕРБ.,Негативен,0.92,гняв
"Тиквата и *** правеха това 20 години, ама нямаше кой да ги спре. Бяха завладяли цялата Държава. Дано Радев сложи край на това.",Негативен,0.93,гняв
"До: 1у северозападнал татарстан осемдесе процента от колите над 10 000 лева се водат на умрели инвалиди, тихо ся",Негативен,0.82,възмущение
"А защо продължават да се водят имоти, коли, сметки за парно, ток и вода на името на ПОЧИНАЛИ хора???",Негативен,0.92,възмущение
"вчера филолог, днеска спортното в монтана, люлинския шебек е всестранно развита личност. междувременно за един следобед полицейското управление в сарасота е хванало квотата на българските милиционери за изтеклата седмица.",Негативен,0.86,презрение
"До: анонименчичангелес, ти си педесе годишен люлински морук, нема как човека с мустаците да ти е предавал в спортното. тънко отадминистрирай З да не е е абаротнае че направа падладявамь",Негативен,0.86,гняв
"До: анонимен....13 ...Ти колко поэнаваш кмета на Монтана? Щото аэ го поэнавам горе долу. Беше ми учител по история 4 г. и 2 г. директор, в спортното. И не съм на твоето мнение",Неутрален,0.72,несъгласие
"ППДБ яко ги е подсирило, че пеевски ше им вземе северозапада и думкат сензации и с двете цеви. последния път заради тех станахме клиенти на росатом, да видиме след следващата окъкана показна акция дали нема да станеме клиенти и на тюрк телеком",Негативен,0.88,раздразнение
"До: анонимен7 кметовете на враца и монтана са от ДСи са от кой им кажат, че са.",Негативен,0.74,недоверие
"До: анонимен10 прибират рецетата от махалите , съветват ги и го отчитат като борба с купените гласове. там къде са намирали пищаци и ганджа намират пищаци и ганджа. нашия пише 60% рейтинг и успешни мисии, като се едно играе на света на танкувити, и пъчи, щото иначе хората ше почнат да питат кво стана със знаковите разследвания и къде е пепи еврото.",Негативен,0.92,възмущение
"Този МВР шеф вече просто кърти *** с показните си изпълнения. След фризьорките, магазинерките и лихварите сега е редът на починалите. Как да разбере милиционерската му кратуна, че картата на починал автоматично става невалидна след смъртта му и няма как да се използва за каквото и да било. Въпрос на елементарна проверка е.",Негативен,0.96,гняв
Значи много добре са ги знаели преди това...,Негативен,0.62,недоверие
кметовете на враца и монтана са от герб,Неутрален,0.95,неутралност
Поръчителя е важно да се хване не само посредника. Те тия са като бушони и ги сменят.,Негативен,0.86,разочарование
До 1 Какво против читалищата имаш?,Неутрален,0.65,недоумение
И тримата ли са шведи?,Неутрален,0.95,любопитство
"абе много акции станаха , дано не объркат да арестуват некой от наще",Негативен,0.78,притеснение
": , , ; . кой разбрал разбрал",Неутрален,0.68,безразличие
"къде, от кой, колко, какво ... тиеа читалищната журналистика. ""един човек каза че евентуално ако може защото би трябвало може би окончателно ...",Негативен,0.72,разочарование
;)))) elektronno pravitelstvo...,Позитивен,0.62,веселие
"К'ви грешки баце? Вчера по новините казаха, че 6.5 мил. имали право да гласуват!!! Смятай к'во се случва? Докато не се въведе активна регистрация ниц оправия!",Негативен,0.88,възмущение
"а може ли още да се гласува с лична карта, снимана на телефона?",Неутрален,0.92,любопитство
отстранете най голямата грешка - прогресиста румен,Негативен,0.92,гняв
"Този ЦИК не може да бъде гарант за честни избори, там са кукли на конци, а кой дърпа конците на всички е ясно.",Негативен,0.95,недоверие
Радев е еманация на презрението и подигравката на олигархията ни към нас останалите.,Негативен,0.96,презрение
"tasi izvratena razvratna bg sadebna systema likvidirame totalno, vsichkiat personal uvolnenie i publichna zabrana za zaemane na vsiakakav vid deinost v darjavna bg administracia. snimkite i imenata im v black lista! ili ste ima masovi strelbi!",Негативен,0.98,гняв
Баце продължи тяхното крадливо дело...,Негативен,0.92,възмущение
Боташ.,Неутрален,0.95,неутралност
parvata dama na upravitela iztarvala konia v riakata...,Негативен,0.62,тревога
"Толкова обичам бедните, че като дойда ще създам още повече такива!",Негативен,0.92,сарказъм
rradevi sa obiknoveni christianski teroristi.,Негативен,0.93,гняв
"Точно Радев ли ще направи държавата богата? Тази мантра, че ""държавата не е бедна, но много се краде"" сме го чували и от царя, и от Тодор Живков - все нарочени за месии. И нито един от двамата не успя да спре обезлюдяването и кражбите . Защото бяха част от крадците.",Негативен,0.92,разочарование
Na 19.4 za rradev tekme i out v oboriste pri ahmed dogan ;)))) pochiten prestapnik na rbg... a moje i pri aleksei po barzata pista...,Негативен,0.86,гняв
"България е не лошо управлявана,а абсолютно неграмотно управлявана защото:на избори ходят изплюскалите тройка кюфтета аборигени,""спечелили"" по стотачка скръндзи и,купените с държавни службици калинки-като изборен резултат е избран селяндурски дембелин,с някакво ""образование"",*** по възпитание,абсолютно ограничен и тесногръд индивид!Е какво очаквате като резултат?",Негативен,0.98,гняв
"Внимание! Прогресивни измамници на хоризинта! Този, като че не е бил от управляващите, а е гледал отстрани. И сега какво: Олигарсите ми са по-добри от олигарсите ти :) България не била бедна страна, а лошо управлявана, и този чак сега ли го разбра? Сигурно не е чак толкова умен :) Какво стана с Български възход, да не го преименуваха на Българско падение? Дали ще участва на изборите генерал Янев :)",Негативен,0.94,сарказъм
To тaka cu e! Harлegeн npuмep зa лoшo ynpaвлeнue e goroвopa c Бoтaш!,Негативен,0.92,разочарование
Румбата Бойчето Дидо Дебелия. Все наши ребята.,Позитивен,0.68,принадлежност
"Хора, Не се вълнувайте толкова, ще има още от същото. Явно, като народ, не можем да излъчим и изберем можеши и мислещи за хората политици. Комунистическата номенклатура и агентура си ни управляваи ще продължат. Ако не е Радев, ще е Бойко, ако не е Бойко ще е Делян, ако не е Делян ще е друг подобен. Царе, Станищевци, Костовци и т.н. Просто не се смени номенклатурата. Прибраха парите и си държат властта и стават все по-брутални за обикновените хора и унищожават България, бавно и устойчиво.",Негативен,0.96,разочарование
"Да Радев, и ти носиш персонална вина за кражбите през последните 9 години! Предсрочни избори на килограм и служебни правителства! Назначи шарлатаните от ПП-ДБ, Киро простото - незаконно, погази Конституцията! Твое служебно правителство подписа Боташ и всеки ден плащаме на Турция по 1 милион евро! Ти Радев, виждаш ли ВИНАТА си, или ти е удобно само да критикуваш останалите?!",Негативен,0.98,гняв
"Народа като чуе Президент иси мисли ,че има правата на Тръмп, Макрон или Ердоган, само, че това са президентски републики, а ние сме парламентарна, в българия президента е само един чиновник, който преставлява България в разни незначими мероприятия и няма никаква сьила...",Негативен,0.86,разочарование
"Девет години като беше президент къде спа и не спря корупцията, с ядеше и пиеше на една маса с олигарсите. Съсипаха и плодородната земя на юг и всички мълчат. Страоят се блокчета по 4 етажа и се застрояват зелени площи, което е кощунство. Блокове под 9 етажа за големите градове не бива да се разрешават.",Негативен,0.95,гняв
Все едни и същи слагате начело на държавата. Няма кяк да се оправите.,Негативен,0.95,разочарование
"Радев е ""олигархията"" в България! Божков , Гергов , Бобокови , Копринков , Доган .Цветан Василев,...всичките стоят зад него !",Негативен,0.92,гняв
кифлю,Негативен,0.68,презрение
"Интересен факт - колкото повече платените писачи на олигархията оплюват Радев, толкова повече хора решават да гласуват за него. Никой не иска да е в един кюп с такива писачи или да остави господарите им да ни управляват",Негативен,0.82,гняв
поне най накрая ще погребем бсп едиственото свясно нещо от целия тоя фарс,Негативен,0.88,гняв
"Цитат: Румен Радев каза, че Прогресивна България си поставя за цел изхвърляне на олигархията от политическата власт, разграждане на модела Борисов-Пеевски и спиране на достъпа му до публичен ресурс. +++ Това не е достатъчно. ГЕРБ, СДС и ДПС-НН откраднаха стотици милиарди. Трябва да се върне на България поне част от тези милиарди",Негативен,0.88,гняв
най обикновенолайно си рундю,Негативен,0.98,гняв
300 00 пълни *** ще го направят първи нищо няма да постигне естествено там гълаби мълаби служебни му ги знаем дори няма да му стигнат за правителство и 6 месежа после цирк до новите избори където ще замине в канафката,Негативен,0.88,гняв
"До Архивите са живиСамо за това, че е заявил такова нещо публично, трябва да бъде изхвърлен от политиката и съдебната власт да се заеме с него! Тази ""Панорама"" не съм я гледал! Това е толкова скандално изявление!",Негативен,0.97,гняв
"Не можех да си спомня името на каратистката... Сега го намерих в нета - не Нора, а Ивет Горанова. И тя иска да става депутатка. Така де, не се живее само с реклама на болкоуспокояващия препарат Алгасан акут долор...",Негативен,0.78,ирония
"Олигархията се изхвърля от политическата власт като се поставят в листите на прогресивна България синовете на олигарсите! Гергов, Бобокови, Ковачки, Вълканов, Василев ну да олигарси а ПРОГРЕСИВНИ ИНДУСТРИАЛЦИ!!!! М у н ч о нагло се гаври с избирателите си!",Негативен,0.97,гняв
"Ако хората смятат, че спортисти ще оправят положението - много са елементарни. Вижте само как са му подредени листите - спортист, военен, спортист, военен. Както едно време - роднина, милиционер. Енчо Кирязов, Владо Николов, Нора Милева... Парламент ли ще избираме, или председател на БСФС?",Негативен,0.92,презрение
"Добре ли я управляваха бедна България, твоите служебни правителства? Колко на брой Радев?!",Негативен,0.93,гняв
"Да Радев, и ти сош персонална вина за последните 9 години! Предсрочни избори на килограм и служебни правителства! Назначи шарлатаните от ПП-ДБ, Киро простото - незаконно, погази Конституцията! Твое служебно правителство подписа Боташ и всеки ден плащаме на Турция по 1 милион евро! Ти Радев, виждаш ли ВИНАТА си, или ти е удобно само да критикуваш останалите?!",Негативен,0.98,гняв
"До: анонимен92. Само в главата ти има линчуване, самоуправство и т.н... Но няма да седна да ти обяснявам как се случват нещата в цивилизовано и грамотно общество, след като си вещ... Има - да, население, които не живее в даден район, местност, община, област дори и не знае за това, какво се случва и трябва да се направи в друга община. Ти ако си от Сусурлево например, знаеш ли в Горно *** какви са им проблемите? Илитерат",Негативен,0.94,презрение
"Прогресивните индустриалци, които са зад това същество не разбраха ли, че то и за ХАСКОВСКИ ПЪДАРИН не става? Поне да бяха наели някой по умен да му пише изказванията.",Негативен,0.96,презрение
"До: случаен минувач""ЗА ДОГОВОРА С БОТАШ "" Румен Радев - Как и на какво основание смятате, че договора е неизгоден?Б. В. -ЗАГУБИ ОТ МИЛИОН на ден, успешни ли са?Румен Радев - А вие на това казвате ЗАГУБИ?Радев пред ""Панорама"" 30.01.2026",Негативен,0.78,възмущение
"Сякаш не е бил девет години президент с право да назначава ръководителите тя службите е с право на вето на решенията на парламента. Назначените от него служебни кабинети са управлявали близо две години и сътвориха сделки като тази с Боташ, при която близо 550 000 евро отиват всеки ден в Турция, без да ползваме и една капка газ. Негов кабинет обяви без да има право та това Грипен да победител в конкурса за бойна авиация, с което нейното обновяване бе спряно с две години и половина!",Негативен,0.92,възмущение
"И аз се учудих в началото ,защото пустеещи земи около Монтана няма! Гледах клипчета от строежа на магистралата Видин -макреш -бела-ружинци , еми всичко наоколо е засято и се обработва.",Неутрален,0.78,учудване
А за Боташ - турците си ги прибират паричките ежедневно и ни се подсмихват... Казват - като има балъци за стрижене...,Негативен,0.96,гняв
До: случаен минувачE да това е проблемът - лупавите хора и онези от изток го знаят.А за пустеещи плодородни земи в северозапада-просто отдавна няма такива.Отдана са изкупени от ДПС турски граждани и се обработват.,Негативен,0.86,гняв
"Радев пропиля два президентски мандата в обслужването на чужди за България интереси. Руски интереси! А имаше възможност да се превърне в лидер на българската нация. Да я води напред и нагоре. Вместо това от 2016 г. сее в българското общество разделение и хаос, всява страхове от несъществуващи заплахи! Договорът му с Боташ налива всеки ден по 550 000 евро на турците. А с искането си за референдум за еврото за пореден път саботира интеграцията на страната в ЕС. Вреден и опасен за България!",Негативен,0.98,гняв
"Още докато беше президент, показа, че може да нарушава Конституцията. Юмрукът му я наруши. Какво ще му попречи да продължава да си нарушава законите? Само погледнете с какви хора се е обградил. И как ги е подредил - спортист, военен, спортист, овенен. Както се правеше едно време - роднина, милицинер.",Негативен,0.95,възмущение
"Разчита се на гласовете на откровено глупавите хора, които явно са мнозинство в България. Ако дойде на власт, най-вероятно ще потърси договор с Русия за внос на евтин петрол и газ. Да, може би цената на горивата ще спадне. И ще потрие ръце: Ето, нали ви казах! Ама това, че цивилизованият свят ще ни обърне гръб - какво го интересува? Важното е той и хората около него да са добре. И разбира се, да имат възможности да продължават да сключват разни нови договори като Боташ... Ето така ни грабят...",Негативен,0.96,гняв
"До: анонимен90 деребеи*, местното общество е добре да не се праи на бабичката със забележките, щото самоуправството е наказуемо. прочие, филолог, не-местно общество има ли?",Негативен,0.86,гняв
"заради закритите от ал бънди поделения, американските самолети кацнаха на летище софия. а нашия в типично негов стил 10 дена преди изборите вместо да предложи решения бърчи вежди и каканиже че така не се правело.",Негативен,0.92,разочарование
"Този колко ниско започна да слиза... Страх, социални помощи, дърва за огрев... Банички с извара... Колкото до дерибеите... Това е работа на РУП, на МВР, на вътрешен министър.... На местното общество дори.",Негативен,0.82,възмущение
"Видяхме те и тебе колко ""добре"" се справяш като президент. Ходеше и излагаше България и българите пред света. Ще те запомнят с фразата ""да свалим санкциите на Русия"" и отговора на въпроса ""Чий е Крим?"", заради което спряха да те канят на екскурзии по света. Караше си я както в казармата ден да мине. Няма как от човек който си е клатил краката цял живот да очакваме добро управление. Пълен провал беше като началник на ВВС, пълен провал беше като президент, пълен пловал ще си и като премиер.",Негативен,0.98,гняв
Аз открих топлата вода....CтадотоОвцe трябва да ме следва...,Негативен,0.86,презрение
Кой ще плаща дълговете към Боташ?,Негативен,0.72,загриженост
"Може би Радев не олигарх и мафиот като другите политици, но при всички положения има голяма вероятност да стане втори Виктор Орбан...",Негативен,0.78,тревога
"Такъв Прогрес на зелените чорапи ще настане, че ще плачем още 30 години.",Негативен,0.92,разочарование
Po-skoro e nedooglozgana spored Radev.,Негативен,0.68,неодобрение
"БГНЕС припомня, че на 7 април в свой мониторингов доклад BFMI заяви, че Румен Радев е натрупал 90 милиона гледания в TikTok чрез мрежи, чието поведение трудно може да се обясни с органична активност. ..........това трябва да ви казва всичко за ""честния спасител"" радев който щял да се бори с олигарси и да оправи България",Негативен,0.92,недоверие
"И всеки път след изборите. Излезте на улиците, за да стачкуваме и да ги премахнем. Тази секта във България е свързана със сектата в чужбина. Това са урсулите, които прокарват своята сатанинска политика през хора като Цве@%телина, Па@%шата, Бой#^ко, ***@%евски",Негативен,0.96,гняв
я българите да му сложат едно голямо вето на румен ветото,Негативен,0.82,недоволство
тоя колко по говори толко хората разбират че това са лозунги лъжливи като на 09.09.44г.,Негативен,0.92,недоверие
"Бог иска от Вас да се приборите със сектата на Държавна Сигурност. Бог иска, ние българите да се борим с злото в лицето на Туту, Шиши, Цветелина, Пашата, техните бащи, техните чичовци. Ние трябва да се борим срещу партиите, които медиите ни представят. Гласувайте за малките партии. Гласувайте за слабите кандидати. Не гласувайте на изборите за ГЕРБ, НН, ППДП, РАДЕВ,БОЙКО,ПЕЕВСКИ, ВЪЗРАЖДАНЕ,ВЕЛИЧИЕ. Гласувайте, за който искате само не гласувате за партиите на ДС. И всеки път след изборите.",Негативен,0.92,гняв
"Същата банка, която погълна на Цветелина банката. Там Туту има безлимитен кредит. Може да харчи, колкото си иска. Няма лимит. Тези ""хора"" са могъща секта, която се управлява от Сатаната. Туту, Шиши и техните шефове от ДС са секта, която убива и краде от времето на бай Тошо. Това са хората, които убиха Людмила Живкова, сина и Тодор Славков младши, жертвите от Петрохан.",Негативен,0.97,гняв
"Човекът , който подари 3 милиарда евро на турците от Боташ, твърди , че другите управлявали лошо ? Толкова брутална наглост , че обикновеният българин и през ум не му минава , с какъв подлец и двуличник си има работа ! Доказан родоотстъпник!",Негативен,0.99,гняв
"Само дурак може да си мисли, че Шиши, Туту, хората зад тях от бившата ДС и роднини от типа на Пашата с чичовци с високи постове в Държава ще се предадат без да се пролее кръв. Едно време пашата спука Туту от бой, който му беше охрана. Тук говорим за ДС, която е завладява съд, прокуратура, политика. Всичко. Радев говори глупости. Знаете ли, че блокират парите във банки с платени данъци без адвокат и съд. И това е голяма банка. Същата банка, която погълна на Цветелина банката. Там Туту има безлим",Негативен,0.96,гняв
ше превърнеш северозапада в рай чрез фирми на твоите олигарси спонсори . много си прозрачен бе прогресист,Негативен,0.91,презрение
НЕ НА РАДЕВ,Негативен,0.82,несъгласие
и ти ше я управляваш правилно и ше засадиш северозападна България с какво??? бегай бе празнодумец !,Негативен,0.95,гняв
Фес с петолъчка,Неутрален,0.9,спокойствие
"Това жалко недоразумение нахендрено ни от Москва ни струва по над 500 000 Eвро на ден, над 15 000 000 Eвро на месец и над 180 000 000 Eвро на година. .. И така до 2035 година !!!!!",Негативен,0.98,гняв
"Другарю Радев, обичам ви !Ще направя всичко което поискате от мен.Винаги съм готов !",Позитивен,0.96,обич
"Боя се, че ти самият нямаш управленски опит. Ще се довери на подкрепящият те бекграунд.До къде ще те докарат, не се знае. Битката ти е по-скоро лична - да унищожиш ББ и ДП.",Негативен,0.88,недоверие
На Радев задачата е да свали онези двамата.,Негативен,0.78,гняв
"Точно така е, България не е бедна, но много се краде. Вижте по времето на соца какво чудо се е построила и как е електрифицирано и най отдалеченото селце, безплатно обучение, лекари, зъболекари, гр.транспорт с билет 4 Ст. и после става 6 ст., безплатни спортни школи а бе, много нещо. За 36 г няма направено на четвърт от това. Днешните 1000 лв са по-малко от тогавашните 100 лв. Двамата крадци летят с фалкона, а хората изнемогват. 95% живеят зле. Магнитски да си прибира намагнитени.",Негативен,0.93,гняв
"Крим е Украйна - завинаги - А България е Европа, другарю зелен чорап! И това не е шаблон или кух лизинг, а осъзната реалност! Просто си нямаш представа какво е да натириш 500000 млади българи обратно в пещерния сталинизъм на другаря ви Путин! Какъв отпор ще има!",Негативен,0.92,гняв
"Именно ти вече осем (8) години управляваш, понеси отговорност като истински мъж ,а не руска наведена жена със разюздено поведение",Негативен,0.96,гняв
До: анонименВсички военни пенсионери с пищови ще гласуват за кадър от армията Всички се нагледахме на полицейските номера борисОФ,Негативен,0.78,недоволство
Радев идва и ще ви измете!,Негативен,0.92,гняв
Треперите нали? Има защо да треперите! ТРЕПЕРЕТЕ.,Негативен,0.95,гняв
Както самолетите на летците всичко е вносно и лоша селекция на българите още от училището и ни управлява комунистическата номенклатура,Негативен,0.86,разочарование
"Именно , Чорапе ! Именно с ""Боташ"" показа колко лошо се управлява страната !!!! Що за наглост и тдиотизъм е точно ти, Зелен чорапе, ти да ломотиш такива простотии !!!??? Няма ли кой да му тегли оловото на тоя нагълпърч ?",Негативен,0.98,гняв
Ами как да е иначе след като винаги в Бг се намират неадеквантици готови да сключат някоя сделка тип Боташ.,Негативен,0.95,разочарование
"Боташ, представям си как ще я управлявате с Гергов, Tимaджиитe.и Копринката! Гледката ще е трагикомична!!!",Негативен,0.92,сарказъм
"Щом военен ще ни управлява като в Куба, преди в Аржентина, Мордор, Венецуела....мани-мани. Пък се сетете сами кога военна хунта е знаела да управлява добре някоя държава",Негативен,0.95,недоволство
НИВАТА НЕ ИСКА УПРАВЛЕНИЕ.. НИВАТА ИСКА МОТИКА.... МЪРЗЕЛЛВОЕНЕН,Негативен,0.87,гняв
Парясник от глава на семейство за глава на държава не става. Видяхте ли му офиса с джакузито и работната маса пред него с компаньонките.,Негативен,0.96,презрение
"kaзва ни, че небето е синьо?...прогресивен популист",Негативен,0.62,пренебрежение
Вярно е.,Неутрален,0.95,спокойствие
"Приказки от пауланер гартен. Не била бедна. И на какво е богата? Газ ли има, нефт ли? Каква плодородна земя има на северозапад? Има в Добруджа и в Тракия малко и това е. На северозапад има земя трета категория - полупланинска. Стига сте лъгали народа, че сме богати и с вас на власт ще цъфнем и вържем. Ти със служебните защо не започна поне? Успя да забиеш един байрак в Родопите само. С булгаар булгаар не става тази работа, зелен кауун.",Негативен,0.96,гняв
"И този оххлюв се е заразил с мантрата Борисов и Пеевски и ляга и става с тях. А някой най-после ще вземе ли да обясни какво аджеба представлява този модел, защото всички го дрънкат, ама май само дотам.",Негативен,0.92,раздразнение
"А ти къде беше девет години бе, хасковски кayнь? Ай сик тир.",Негативен,0.98,гняв
Долу ЕС и САЩ,Негативен,0.92,гняв
ЕС и САЩ я управляват 37 г. и значи те са лошо управлявали. Това казва.,Негативен,0.82,разочарование
За два мандата президент не го чух да казва такова нещо. Но виж да глашатаи русофилската пропаганда - всеки ден!,Негативен,0.86,раздразнение
"ПРЕМАХНАХ ВИ И НЕЖЕЛАЯ ДА ИМАМ НИЩО ОБЩО С ХОРА НА КОИТО ДРУГИ ДЪРПАТ КОНЦИТЕ.ОСТАНЕТЕ СИ ПОДВЛАСТНИ ,НО СКОРО ЩЕ ИЗТРЕЗНЕЕТЕ И ЖИВОТА ПРОДЪЛЖАВА. АЗ ЖИВЕЯ НАИСТИНА В СВОДНА ДЪРЖАВА И НЕ СЕ СТРАХУВАМ ДА ИЗКАЖА ГЛАСНО МНЕНИЕТО СИ.",Негативен,0.92,гняв
"България не е бедна а много крадена - Асен Василев. Притопля манджата на протежето си, от което се отрече Радев. Управляваи БОТАШ бе! - Окрадени!!!",Негативен,0.93,гняв
"КЪДЕ Е КОМЕНТАРЪТ МИ? КОЙ ВИ ДИРИЖИРА? В БЪЛГАРИЯ ИМА ЛИ ИСТИНСКА ДЕМОКРАЦИЯ ИЛИ Е НЕЩО ПО ПОДОБИЕ? ЖАЛКО ЗА ВАС, ДРУГО МНЕНИЕ ИМАХ.",Негативен,0.95,гняв
"Някой разбра ли тоя Фелдфебел, какво ще направи за да се развие Северозападът? Че той нищо не каза ? Разбра се само , че ще спира някакви финансови потоци, към някакъв ""модел""? И че всички пари трябва да минат по ...Пътят на Копринката!",Негативен,0.89,недоволство
До: Резидент разединител ГЕРП що закри южен поток. Загуби 100 милярда $ с Белене. Бг требва да излезне ЕС и нАТО сички сте престъпници след 1989.,Негативен,0.97,гняв
До: Дядо от село Повече е 20 г. биле е генерал при ГЕРП и СДС. Съсипал е и армията след СИВ.,Негативен,0.82,гняв
Туй екс секретарката и настоящата съпруга - да те изгони ...в собственото си семейство да е нищо - за държава се натиска,Негативен,0.86,гняв
Зеления чорап отказа всякакви предложения за дебати. Без сценаристи кръгла нула четящия некролози.,Негативен,0.95,презрение
"И това го казва човек, който 10 години е бил в управлението на страната.. Кво е дремал? Няма такъв наглец...",Негативен,0.96,гняв
"И себестойността на потока със всички допълнителни станции, за да върви газта не само в една посока е 3млрд лева. Значи този проект ще се избие за 6-7 години. Е нищо де благодарение на теб ще изплащаме Боташ още 13. Колко по-добре ще управляваш, като за 9 години освен омраза и разделение нищо друго не постигна. Само разгради и се опозори. СРАМ",Негативен,0.98,гняв
"До: анонимен 19... Никой не иска нито ЕС, нито пък ОТАН. Нбутаха ни без да питат народа. Продадоха ни, разграбиха нашите ресурси. Дори и пуснаха предателите соломонови сълзи от радост и кефа, че са забаламосали бa лъ *** те.",Негативен,0.96,гняв
"Гумен гадев да бъде избран, ще ни върне и лева и ТКЗС. Да напуснем ЕС да затворим границите. Без интернет, за да не могат жените да гледат къде тревата е по зелена и да не ходят да се женят на запад. Да седят тука приковани за пералнята и печката и да раждат от 15 годишни. Ще станем 90 милиона и ще бъдем еничарски корпус и плацдарм за бъдеща експанзия на фашистка Русия в Европа, но затова пък С евтин руски газ и нефт. Парното ще е безплатно. Снимките черно бели за носталгията.",Негативен,0.96,гняв
"Обещавам, че ако ме изберете ще подаря половин България на турците.",Негативен,0.92,враждебност
"Стига глупости, където и да пътуваш из северозапада всичко е засято. Колко лошо управлявана, преди 2020 да вдигнеш юмрука се построи така омразния на ППДБ и явно и на теб балкански/турски поток, който за 2025 е направил 560млн печалба, от които 490млн лева са дългосрочни договори направени още с пускането на проекта, 70млн са от свободния капацитет, а ти като дойде освен шарлатаните ни доведе и договора с Боташ, който е 1млн на ден разход. И как ще управляваш ти тогава като ти се видя капацитета",Негативен,0.93,гняв
"Само един голям стратег като Радев парсцала може да подпише един уникален договор за пренос на въздух, за 600 000 евро на ден за 13 години..",Негативен,0.95,възмущение
До: Тракийски бачкатор Искате ЕС и НАТО и затова се обезлюди. Там ще са по-високи заплати и сички бегат.,Негативен,0.82,разочарование
