,sentiment,confidence,dominant_emotion
"Разбрахте ли сега защо девойките, които учат за медицински сестри, презглава хукват за чужбина веднага след като се дипломират? Там е възможно да се омъжат за внуци на кралици, а тук какво ги чака? Изнурителен труд за скромни заплати плюс заядливи и претенциозни свекърви от скромните панелки в ""Люлин"".",Негативен,0.92,разочарование
"Този Питър Филипс, щом е син на принцеса Ан, значи също като Хари е внук на покойната кралица Елизабет Втора.",Неутрален,0.95,неутралност
Аз също не го поканих.,Неутрален,0.85,неутралност
Спрете да предлагате кокосовото масло! Вредно е!,Негативен,0.95,гняв
Що за диетично и запържено,Негативен,0.78,недоволство
"А изгониха ""ДАНОН"".",Негативен,0.62,недоволство
"Няма ли да стане по-добре, ако вместо една се вземат две чаши кисело мляко, което да се поизцеди. Хем обемът на млякото ще намалее, хем ще се получи по-плътен крем.",Позитивен,0.78,спокойствие
"В гората има мечки, докато съберете микса от горски плодове и може да ви излезе киселото мляко през носа.",Негативен,0.68,тревога
А Специалния приготвял за Леля Асена Точикура,Неутрален,0.78,спокойствие
До: HangoverРумънките кой друг,Неутрален,0.72,неутралност
"От кога КАЧАМАКА стана полента???? На италианци ли се правите???? Значи може да напишете как е на румънски качамак,на български не можете",Негативен,0.95,гняв
Кой ли пък ще става в шест сутринта да готви румънски манджи?,Негативен,0.78,раздразнение
А дано най-накрая се вземат.,Позитивен,0.82,надежда
Пожелавам здраве и щастие на хората от снимките.,Позитивен,0.95,доброжелателност
Хубави хора.,Позитивен,0.95,симпатия
"Витамини и минерали, които се съдържат в морковите, корнишоните и бананите по евростандарт.",Неутрален,0.92,спокойствие
"природата си знае работата - най-добре младо гадже. Тая работа с добавките е загубена кауза. Където ще давам аз хапчета на жената, че белкем и се доиска, по-добре едно младо момиченце където си кипи и без добавки",Негативен,0.78,пренебрежение
"Старшината ни ( към 35, ама ми изглеждаше като чичо) викаше: СТАРА РИБА НЯМА!!!",Неутрален,0.72,ирония
Банана е много важен!,Позитивен,0.72,ентусиазъм
Сигурната добавка е 100 евро...,Неутрален,0.78,спокойствие
Кисело зеле е най-добре.,Позитивен,0.92,одобрение
"Гришо още е млад, има време да завърти дом и семейство.",Позитивен,0.78,надежда
"Този може да изглежда ***,но не е... Страхотна жена си е избрал, което говори много добре за него..",Позитивен,0.86,одобрение
Две простовати физиономии. Няма забрая злобната му физиономия на тоя когато 2012 година загуби след 6 часа битка финала на АО срещу Новак. Това беше най-злобната физиономия която съм виждал. Искаше да изгризе гърлото на Джокович тази испанска мършаааа...А аз тогава откачих от кеф!,Негативен,0.96,гняв
Голям праз не съм го чувал даже :)))),Неутрален,0.72,безразличие
А къде са Лена мустака и Просто Киро баджанака :)))))),Негативен,0.86,подигравка
"""Отис също е прострелян в гърдите"". Това Отис един път жена, един път мъж",Негативен,0.72,раздразнение
"Алоо ,,Отис е тя , оправете ги тия грешки",Негативен,0.78,раздразнение
Дреме ми на бахура какво мислят интериорните дизайнери.,Негативен,0.86,безразличие
"И тоа го е загазил, взел престарела лека на 45, вместо нещо младо 25 годишно.",Негативен,0.92,презрение
Стара мома за стар ерген.,Неутрален,0.72,спокойствие
"СХВАНАХТЕ ЛИ ЕЛЕМЕНТАРНИЯ РЕКЛАМЕН ТРИК - СЛАБ АВТОР, СКУЧНА БЕЗИНТЕРЕСНА КНИГА, АЛА *** В СТАТИЯТА ГО СРАМ ДА НИ ГО КАЖЕ - СИГУРНО СА МУ ЗАБРАНИЛИ. ХРОНОЛОГИЯТА - ИЗДАДЕНА ""се нареди сред търсените български заглавия на пазара през миналата година."", НО ЯВНО СЛЕД ФАНФАРИТЕ Е ПЪЛЕН КРАХ, ТА ЗАТОВА 9 МЕСЕЦА ПО-КЪСНО АВТОРЪТ ЩЯЛ ДА Я ПРЕДСТАВЯ В БУРГАС и ВАРНА,А ЖУРНАЛИТЕ ДРЪНЧАТ, БЕЛКИМ НЯКОЙ СЕ ЗАКАЧИ НА КУКИИЧКАТА И Я КУПИ!!!... Е НЯМА БУДАЛИ!!!...",Негативен,0.98,гняв
Деда от Босна Кедрич като Меланията яничерна туркина.,Негативен,0.72,презрение
"Тази и режисьор, малко странно.:))",Позитивен,0.65,забавление
КАКВА Е ТАЯ МОРФЕМА???!!!...,Негативен,0.86,раздразнение
"Когато поместват материли за такива звезди на киното, защо не качват снимки и от най-силните им години, когато наистина са били големи красавици?",Негативен,0.68,разочарование
на мен вече не ми харесва,Негативен,0.95,разочарование
ако живееше в мизерия и си броеше стотинките дали щеше толкова да и харесва да живее?....,Негативен,0.86,недоволство
"До: ха ха ха18, Учи история ха-ха-ха! В Русия е крепостничество .ВСАЩ е робство,особено в Южните щати. Войната в САЩ е между Севера и Юга",Негативен,0.72,присмех
До 4юли остана малко време Ще видим как ще се развиват събитията.Да не стане на 250 г Севера срещу Юга 21 век,Негативен,0.74,тревога
Като не разбираш по добре не коментирай. 250 годишнината от независимостта на Щатите не е и не трябва да е политическо събитие каквото президента педофил иска да направи.,Негативен,0.95,гняв
"He e лu npaйg, xuч нe мu ro xвaлu!",Негативен,0.82,раздразнение
"Ха-ха-ха, каза най-големият некадърник на света. Оранжевият орангутан си заминава след междинните избори.",Негативен,0.95,презрение
"Ха така, Тръмп ще им попее малко, той пее като никой друг, такова пеене никога не сте чували преди, най-великото и най-незабравимото и никога няма да чуете пак толкова велико пеене, е стига да не реши пак да попее защото става все по велик и велик и т.н.",Негативен,0.72,ирония
"Не били ги чували, значи не стават. Ей, Андрешко, трябва и култура! Само Азис, мазни кючеци и бангаранга за вас. Вие изкуство, пък и от световен мащаб, не заслужавате. Не заслужвате даже и мазните кючеци, ама ви идват наготово.",Негативен,0.98,презрение
"ИМА ТЪНКА И НЕУЛОВИМА РАЗЛИКА МЕЖДУ РОБСТВО,КРЕПОСТНИЧЕСТВО И ФЕОДАЛИЗЪМ.ДА ПИЕМ ЗА ПРЕМАХВАНЕТО НА КРЕПОСТНИЧЕСТВОТО КАКТО В РУСИЯ ТАКА И В ЗАПАДНА ЕВРОПА. НО НАЙ-МИ ХАРЕСВА ОТ ВСИЧКО ПРАВОТО НА ЗАПАДНИЯТ ФЕОДАЛ НА ПЪРВАТА НОЩ...",Негативен,0.72,ирония
Не им варви на САЩ на ръководители....,Негативен,0.82,разочарование
"ТОЙ не искал бездарни певци!. Ами те самите се отказаха бе, чоджум. Черното е бяло в Белия дом.",Негативен,0.82,раздразнение
Тоя нещасmник го бойкотираха от всякъде независимо от тлъстине хонорари които обещаваше на изпълнителите. Сега скучния дядка Тръмп щял да произнесе няколко часова политическа реч като експеримет за масово приспиване на хора дошли да се забавляват.,Негативен,0.96,презрение
"До: анонименДа пием и за премахването на робството Русия, точно по същото време ...има нещо общо нали?",Неутрален,0.62,ирония
1861г. ДА ПИЕМ ЗА ПРЕМАХВАНЕТО НА РОБСТВОТО В АМЕРИКА!!!... CHEERS!!!...,Позитивен,0.95,радост
"До: анонимен""... духът на създателите на америка е най великото нещо на света и тъмна сянка върху феодализма..."" ха ха ха държава която узаконява робството, с президенти робовладелци ---примитивен феодализъм след ренесанса в Европа.",Негативен,0.92,възмущение
До: BONZO/ има огромна разлика между служител с работно време и трудови задължения и човек който упражнява свободна професия и сам решава с какъв проект да се захване.,Неутрален,0.92,спокойствие
"Интересно ако не се бяха отказали повечето, дали Тръмп пак така щеше да говори :)",Неутрален,0.72,любопитство
"Браво, все повече го харесвам.А тук обратното, бездария в музика, писателство и спортове заливат ЕС и нашата родна България.Ех, Тръмпи, не можеш да огрееш навсякъде, но благодаря че има такива хора, които да ударят един прът в колелата на лицемерието и лиготиите.Браво.",Позитивен,0.74,одобрение
"Така се прави, с гордост, a не с yes please, ok, thank you please. Живейки в България виждам, америка, духът на създателите на америка е най великото нещо на света и тъмна сянка върху феодализма. Но това което се случва с америка е постоянния опит за съботаж на идеята америка!",Позитивен,0.72,гордост
"ТРЪМПИ, НЕ МИ РАЗВАЛЯЙ ПРАЗНИКА!!!...",Негативен,0.82,раздразнение
"Важното е,че ще има златен долар с лика му по случай годишнината.",Неутрален,0.78,спокойствие
"О КАДЪРНИ ТРЪМП, СТОЙ СИ У ДОМА!!!...",Негативен,0.86,гняв
Хахах казал им бил той. Те един по един се отказаха въпреки парите.,Негативен,0.68,разочарование
"добър ден на всички гербери, гербаджии, герберасти и герберунгели. Рундю нарунди ли ви го до тон колоните? Лек ден!",Негативен,0.94,презрение
пък дето са се отказали кои са?,Неутрален,0.82,любопитство
"работата е там, че разлика м/у путин и тръмп няма! единствената разлика е на държавно ниво! един вид на тръмпя има някой дето да му дърпа юздите и да му казва стига! докато на пуин ако някой му казва стига ил иго отравят или пада от прозорец или му катастрофира самолета, все такива ""случайни"" неща му се случват!",Негативен,0.92,възмущение
"да се чуди човек, кой е по-чалнат у главата: Путин, Тръмп или нашия чорапчо",Негативен,0.92,презрение
"Обаче Кондьо и Азис си ги чувал и са ти кумири, нали ?",Негативен,0.78,присмех
"От изброените певци не съм чувал нито един. Явно не са толкова известни, така че Тръмп е прав, че са бездарни.",Негативен,0.92,презрение
Тука съм съгласен с Тръмпи. Все едно строителят да не отиде на работа по политически причини. Ай с'иктир на самозабравилите се певачки.,Негативен,0.92,гняв
Наистина дразнещо е като са монго и постоянно се чуват. добро решение,Негативен,0.62,раздразнение
Аз съм вувузелчек и правя вувузели на Урсула!,Неутрален,0.62,игривост
"забранени са семките , усмивките и правото да пиеш вода и да дишаш въздуха докато траят 90-те минути",Негативен,0.86,разочарование
"а да, типичната краварска цензура, заради която винаги са се обезмисляли всякакви събития и желание човек да се забавлява. затова да го gyxam краварите",Негативен,0.95,гняв
СТИГА БЕ ФАШИСТИ - ВУВУЗЕЛЪТ Е ДЕМОКРАЦИЯ!!!...,Негативен,0.94,гняв
"Правилно, това спорт ли е или панаир. Разни вувузели, тъпъни и какви ли не дивотии трябва да се забранят да се внасят.",Негативен,0.88,раздразнение
"Това е заради невероятните закони в САЩ, какво мубе лошото да си гол до кръста и нарисуван в цвета на държавата,която подкрепяш? А ако си жена още по-малко против имам!",Негативен,0.62,недоволство
Либерастка класика,Негативен,0.92,презрение
"Да го ду...wait, what !?",Негативен,0.72,изненада
А в България кога ще ги забранят? ПБ и Румен Радев надуват и се чува ЧАК от Министерски съвет.,Негативен,0.82,недоволство
A семки ще може ли да чоплим и плюем?,Неутрален,0.82,любопитство
"ФИФА е машина за пари ,както и УЕФА ....ФИФА иочаква печалба от това световно милиарди долари ..(дори е стряскощо ...когато една институция има толкова много пари ..а оттам и власт ..)",Негативен,0.88,тревога
И на мен ми викат вувyзелата,Неутрален,0.74,шеговитост
"Няколко читатели,искаме да сложим ред в естетичното изглеждане на една телевизия,но собствениците й,се правят на важни,което лично на мен,не ми пука.Б.Лазаров, т. нар. синоптик в БТВ,не е за пред камера с тези си килограми,подходящи по вече за щангист тежка категория.Отива зад паравана в студиото,докато влезе в нормата,подходяща за тази професия.",Негативен,0.96,презрение
"Похвали,алабализми.Опъна ли я вече или предстои? Това е важното.",Негативен,0.86,презрение
"Да , изключителна е , най-добрата , Djey GO",Позитивен,0.98,възхищение
Изключително полезна новина. От 30 години се вълнувам от живота на изключителната звезда,Позитивен,0.95,възхищение
"Джус похвали ли те, значи има полза/файда/фандък от тебе .. това е",Неутрален,0.68,цинизъм
"Ивета, вече е досадно да пишеш само за J.Lo, и то толкова неграмотни и плиткоумни статии!",Негативен,0.96,раздразнение
Голям праС .,Неутрален,0.72,безразличие
"Не знам какъв е бил като човек Вал Килмър, но да говориш така за починал е, меко казано, грозно.",Негативен,0.92,възмущение
